name,province,fuel,capacity_mwe,status,units_included
An Khánh - Bac Giang,Bac Giang,coal,650.0,planned,An Khánh - Bac Giang
An Khánh 1,Thai Nguyen,coal,116.0,operational,"An Khánh 1 Unit 1, An Khánh 1 Unit 2"
Bà Rịa GT,Bà Rịa-Vũng Tàu,gas,46.0,operational,Bà Rịa GT
Bạc Liêu 1,Bạc Liêu,coal,1200.0,cancelled,"Bạc Liêu 1 Unit 1, Bạc Liêu 1 Unit 2"
Cam Pha 3,Quảng Ninh,coal,440.0,proposed,"Cam Pha 3 Unit 1, Cam Pha 3 Unit 2"
Cao Ngạn,Thai Nguyen,coal,114.0,operational,"Cao Ngạn Unit 1, Cao Ngạn Unit 2"
Cong Thanh,Thanh Hóa,coal,600.0,cancelled,"Cong Thanh Unit 1, Cong Thanh Unit 2"
Cà Mau I,Cà Mau,gas,771.0,operational,Cà Mau I
Cà Mau II,Cà Mau,gas,771.0,operational,Cà Mau II
Cẩm Phả 1,Quảng Ninh,coal,340.0,operational,Cẩm Phả 1
Cẩm Phả 2,Quảng Ninh,coal,340.0,operational,Cẩm Phả 2
Dong Nai Formosa,Đồng Nai,coal,150.0,proposed,Dong Nai Formosa Unit 3
Dong Nai Formosa,Đồng Nai,coal,300.0,operational,"Dong Nai Formosa Unit 1, Dong Nai Formosa Unit 2"
Duc Giang - Lao Cai Chemical,Lao Cai,coal,100.0,proposed,"Duc Giang - Lao Cai Chemical Unit 1, Duc Giang - Lao Cai Chemical Unit 2"
Dung Quat Special Economic Zone (J-Power) Phase I,Quảng Ngãi,coal,2400.0,proposed,Dung Quat Special Economic Zone (J-Power) Phase I
Dung Quat Special Economic Zone (J-Power) Phase II,Quảng Ngãi,coal,2000.0,proposed,Dung Quat Special Economic Zone (J-Power) Phase II
Duyen Hai 1,Tra Vinh,coal,1244.0,operational,"Duyen Hai 1 Unit 1, Duyen Hai 1 Unit 2"
Duyen Hai 2,Tra Vinh,coal,600.0,operational,Duyen Hai 2 Unit 1
Duyen Hai 3,Tra Vinh,coal,1244.0,operational,"Duyen Hai 3 Unit 1, Duyen Hai 3 Unit 2"
Duyen Hai 3 Extension,Tra Vinh,coal,660.0,operational,Duyen Hai 3 Extension
Duyên Hải 2,Tra Vinh,coal,1200.0,operational,"Duyên Hải 2 Unit 1, Duyên Hải 2 Unit 2"
Formosa HT2,Hà Tĩnh,coal,650.0,proposed,Formosa HT2
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,coal,450.0,proposed,"Ha Tinh Formosa Plastics Steel Complex Unit 10, Ha Tinh Formosa Plastics Steel Complex Unit 6, Ha Tinh Formosa Plastics Steel Complex Unit 7"
Ha Tinh Formosa Plastics Steel Complex,Hà Tĩnh,coal,450.0,operational,"Ha Tinh Formosa Plastics Steel Complex Unit 1, Ha Tinh Formosa Plastics Steel Complex Unit 2, Ha Tinh Formosa Plastics Steel Complex Unit 5"
Hai Duong,Hai Duong,coal,1200.0,operational,"Hai Duong Unit 1, Hai Duong Unit 2"
Hai Ha CHP Phase 1,Quảng Ninh,coal,150.0,proposed,"Hai Ha CHP Phase 1 Unit 1, Hai Ha CHP Phase 1 Unit 2, Hai Ha CHP Phase 1 Unit 3"
Hai Ha CHP Phase 2,Quảng Ninh,coal,750.0,proposed,"Hai Ha CHP Phase 2 Unit 1, Hai Ha CHP Phase 2 Unit 2, Hai Ha CHP Phase 2 Unit 3, Hai Ha CHP Phase 2 Unit 4, Hai Ha CHP Phase 2 Unit 5"
Hai Ha CHP Phase 3,Quảng Ninh,coal,600.0,proposed,"Hai Ha CHP Phase 3 Unit 1, Hai Ha CHP Phase 3 Unit 2"
Hai Ha CHP Phase 4,Quảng Ninh,coal,600.0,proposed,"Hai Ha CHP Phase 4 Unit 1, Hai Ha CHP Phase 4 Unit 2"
Hai Phong 1,Hải Phòng,coal,600.0,operational,"Hai Phong 1 Unit 1, Hai Phong 1 Unit 2"
Hai Phong 2,Hải Phòng,coal,600.0,operational,"Hai Phong 2 Unit 3, Hai Phong 2 Unit 4"
Hai Phong 3,Hải Phòng,coal,1200.0,proposed,"Hai Phong 3 Unit 1, Hai Phong 3 Unit 2"
Hải Phòng,Hải Phòng,gas,500.0,proposed,Hải Phòng
LNG Bà Rịa 2,Bà Rịa-Vũng Tàu,gas,1200.0,proposed,LNG Bà Rịa 2
LNG Bình Định,Bình Định,gas,5000.0,proposed,LNG Bình Định
LNG Bạc Liêu,Bạc Liêu,gas,3200.0,planned,LNG Bạc Liêu
LNG Bến Tre,Bến Tre,gas,3000.0,proposed,LNG Bến Tre
LNG Chân Mây,Huế,gas,4000.0,proposed,LNG Chân Mây
LNG Cà Mau 1,Cà Mau,gas,1500.0,proposed,LNG Cà Mau 1
"LNG Cà Mau 2,3",Cà Mau,gas,3000.0,proposed,"LNG Cà Mau 2,3"
LNG Cà Ná,Ninh Thuan,gas,1500.0,planned,LNG Cà Ná
LNG Cà Ná II+III,Ninh Thuan,gas,4500.0,proposed,LNG Cà Ná II+III
LNG Cái Mép Hạ,Bà Rịa-Vũng Tàu,gas,6000.0,proposed,LNG Cái Mép Hạ
LNG Hiệp Phước (phase I),TP HCM,gas,1200.0,constructing,LNG Hiệp Phước (phase I)
LNG Hiệp Phước (phase II),TP HCM,gas,1500.0,proposed,LNG Hiệp Phước (phase II)
LNG Hà Tĩnh,Hà Tĩnh,gas,6000.0,proposed,LNG Hà Tĩnh
LNG Hải Lăng,Quảng Trị,gas,1500.0,constructing,LNG Hải Lăng
LNG Hải Lăng (2 and 3),Quảng Trị,gas,4500.0,proposed,LNG Hải Lăng (2 and 3)
LNG Hải Phòng 1 (Tiên Lãng),Hải Phòng,gas,4500.0,proposed,LNG Hải Phòng 1 (Tiên Lãng)
LNG Hải Phòng 2 (Cát Hải),Hải Phòng,gas,1600.0,proposed,LNG Hải Phòng 2 (Cát Hải)
LNG Hải Phòng 3 (Cát Hải),Hải Phòng,gas,4500.0,proposed,LNG Hải Phòng 3 (Cát Hải)
LNG Hải Phòng 4 (Đồ Sơn),Hải Phòng,gas,4500.0,proposed,LNG Hải Phòng 4 (Đồ Sơn)
LNG Long An I,Long An,gas,1500.0,planned,LNG Long An I
LNG Long An I phase 2,Long An,gas,1500.0,proposed,LNG Long An I phase 2
LNG Long An II,Long An,gas,1500.0,planned,LNG Long An II
LNG Long An II phase 2,Long An,gas,1500.0,proposed,LNG Long An II phase 2
LNG Long Sơn,Bà Rịa-Vũng Tàu,gas,1200.0,planned,LNG Long Sơn
LNG Long Sơn II+III,Bà Rịa-Vũng Tàu,gas,3200.0,proposed,LNG Long Sơn II+III
LNG Long Sơn IV (địa điểm Tây),Bà Rịa-Vũng Tàu,gas,3600.0,proposed,LNG Long Sơn IV (địa điểm Tây)
LNG Mũi Kê Gà 1,Bình Thuận,gas,1200.0,proposed,LNG Mũi Kê Gà 1
"LNG Mũi Kê Gà 2,3",Bình Thuận,gas,2400.0,proposed,"LNG Mũi Kê Gà 2,3"
LNG Mỹ Giang,Khánh Hòa,gas,6000.0,proposed,LNG Mỹ Giang
LNG Nghi Sơn (Thanh Hóa),Thanh Hóa,gas,5000.0,proposed,LNG Nghi Sơn (Thanh Hóa)
LNG Nhơn Trạch 3,Đồng Nai,gas,750.0,constructing,LNG Nhơn Trạch 3
LNG Nhơn Trạch 4,Đồng Nai,gas,750.0,constructing,LNG Nhơn Trạch 4
LNG Núi Thành (Quảng Nam),Quảng Nam,gas,3200.0,proposed,LNG Núi Thành (Quảng Nam)
LNG Phong Điền – Huế,Huế,gas,3000.0,proposed,LNG Phong Điền – Huế
LNG Phú Mỹ 3.1,Bà Rịa-Vũng Tàu,gas,850.0,proposed,LNG Phú Mỹ 3.1
LNG Quảng Bình,Quảng Bình,gas,3000.0,proposed,LNG Quảng Bình
LNG Quảng Nam,Quảng Nam,gas,4000.0,proposed,LNG Quảng Nam
LNG Quảng Ninh 1 (Cẩm Phả),Quảng Ninh,gas,1500.0,constructing,LNG Quảng Ninh 1 (Cẩm Phả)
LNG Quảng Ninh 2 (Cẩm Phả),Quảng Ninh,gas,1500.0,proposed,LNG Quảng Ninh 2 (Cẩm Phả)
LNG Quảng Ninh 3 (Quảng Yên),Quảng Ninh,gas,4500.0,proposed,LNG Quảng Ninh 3 (Quảng Yên)
LNG Quảng Ninh 4 (Hải Hà),Quảng Ninh,gas,3000.0,proposed,LNG Quảng Ninh 4 (Hải Hà)
LNG Quảng Trạch 2,Quảng Bình,gas,1500.0,proposed,LNG Quảng Trạch 2
LNG Quỳnh Lập,Nghệ An,gas,1500.0,proposed,LNG Quỳnh Lập
LNG Sông Đốc (Cà Mau),Cà Mau,gas,3000.0,proposed,LNG Sông Đốc (Cà Mau)
LNG Sơn Mỹ I,Bình Thuận,gas,2250.0,planned,LNG Sơn Mỹ I
LNG Sơn Mỹ II,Bình Thuận,gas,2250.0,planned,LNG Sơn Mỹ II
LNG Thái Bình,Thái Bình,gas,4500.0,proposed,LNG Thái Bình
LNG Tân Phước,Tiền Giang,gas,4500.0,proposed,LNG Tân Phước
"LNG Tân Thuận – Đầm Dơi, Cà Mau",Cà Mau,gas,3200.0,proposed,"LNG Tân Thuận – Đầm Dơi, Cà Mau"
LNG Vân Phong (J-Power),Khánh Hòa,gas,3000.0,proposed,LNG Vân Phong (J-Power)
LNG Vân Phong (Mỹ Giang) phase 1,Khánh Hòa,gas,3000.0,proposed,LNG Vân Phong (Mỹ Giang) phase 1
LNG Vân Phong (Mỹ Giang) phase 2,Khánh Hòa,gas,3000.0,proposed,LNG Vân Phong (Mỹ Giang) phase 2
LNG miền Nam,"Hiệp Phước 2, Bến Tre, Mũi Kê Gà, Cà Mau,",gas,1500.0,proposed,LNG miền Nam
Lee & Man,Hau Giang,coal,125.0,operational,"Lee & Man Unit 1, Lee & Man Unit 2"
Long An 2,Long An,coal,1600.0,cancelled,"Long An 2 Unit 1, Long An 2 Unit 2"
Long An 1,Long An,coal,1200.0,proposed,"Long An 1 Unit 1, Long An 1 Unit 2"
Long Phú 1,Soc Trang,coal,1200.0,constructing,"Long Phú 1 Unit 1, Long Phú 1 Unit 2"
Long Phú 2,Soc Trang,coal,1320.0,cancelled,"Long Phú 2 Unit 1, Long Phú 2 Unit 2"
Long Phú 3,Soc Trang,coal,1800.0,cancelled,"Long Phú 3 Unit 1, Long Phú 3 Unit 2, Long Phú 3 Unit 3"
Mao Khe,Quảng Ninh,coal,440.0,operational,"Mao Khe Unit 1, Mao Khe Unit 2"
Mong Duong 1,Quảng Ninh,coal,1080.0,operational,"Mong Duong 1 Unit 1, Mong Duong 1 Unit 2"
Mong Duong 2,Quảng Ninh,coal,1240.0,operational,"Mong Duong 2 Unit 1, Mong Duong 2 Unit 2"
Na Dương 1,Lang Son,coal,110.0,operational,"Na Dương 1 Unit 1, Na Dương 1 Unit 2"
Na Dương 2,Lang Son,coal,110.0,operational,Na Dương 2
Nam Dinh 1,Nam Dinh,coal,1200.0,planned,"Nam Dinh 1 Unit 1, Nam Dinh 1 Unit 2"
Nghi Son 1,Thanh Hóa,coal,600.0,operational,"Nghi Son 1 Unit 1, Nghi Son 1 Unit 2"
Nghi Son 2,Thanh Hóa,coal,1200.0,operational,"Nghi Son 2 Unit 1, Nghi Son 2 Unit 2"
Ninh Binh,Ninh Binh,coal,100.0,retired,"Ninh Binh Unit 1, Ninh Binh Unit 2, Ninh Binh Unit 3, Ninh Binh Unit 4"
Ninh Thuan Novatek project,Ninh Thuan,gas,4500.0,proposed,Ninh Thuan Novatek project
Nong Son 1,Quảng Nam,coal,30.0,operational,Nong Son 1
NĐ Cần Thơ,Cần Thơ,gas/oil,165.0,operational,NĐ Cần Thơ
NĐ Hiệp Phước,TP HCM,gas/oil,310.0,operational,NĐ Hiệp Phước
