name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note,evidence_tier,has_url,status_code,final_url,entity_found,is_primary_pattern,identifier,fabrication_suspect,search_evidence,gem_match,gem_agrees
Vinh Tan 1 (already listed above),,,,,0,,,"Duplicate check: already listed as ""Vinh Tan 1"" above",1,False,,,False,False,,,,,
Pha Lai 3,coal_domestic,planned,unknown,Hai Duong,660.0,Study E-542 PL9.5A (ND Phả Lại 3 660MW than nội địa),,Listed only in Study E-542 potential list; not in PDP8 final lists; uncertain,2,False,,,False,False,,,,,
Bao Dai,coal_domestic,planned,unknown,unknown,600.0,Study E-542 PL9.5A (ND than Bảo Đại 600MW than nội địa),,Listed only in Study E-542 potential list; not in PDP8 final lists; uncertain; location not specified,2,False,,,False,False,,,,Bao Dai,True
Bao Dai (coal),coal,planning,,unspecified (north),600.0,Study E542 PL9.5A (ND than Bao Dai – 600 MW domestic coal),,New domestic coal plant proposed in Study E542 draft; not confirmed in final PDP8,2,False,,,False,False,,,,,
Dung Quat 3,gas_domestic,planned,unknown,Quang Ngai,750.0,PDP8 Annex II Table 5 (TBKHH Dung Quất III 750MW giai đoạn 2021-2030),Report 32 Appendix 1 (TBKHH Dung Quất III 750MW Đồng bộ khí CVX target 2024),EVN-owned; uses Ca Voi Xanh gas,3,False,,,True,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Dung Quat,True
Cam Pha 3,coal_domestic,cancelled_or_stalled,unknown,Quang Ninh,440.0,PDP7A Table 1 (NĐ Cẩm Phả III #1-2 2x220MW listed 2020),Report 58 Appendix (NĐ Cẩm Phả 3 2x220MW chưa xác định tiến độ chưa có địa điểm),TKV-owned; 2x220MW; no site identified; likely cancelled,3,False,,,True,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",Phu My 3,True
Cam Thanh,coal_imported,delayed,unknown,Thanh Hoa,600.0,PDP8 Annex II Table 3 (NĐ Cẩm Thanh 600MW chậm tiến độ gặp khó khăn),,Only appears in PDP8 troubled list; 1x600MW; deadline to demonstrate progress by June 2024 or face termination,3,False,,,False,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Tan Thanh,True
Van Phong 1,coal_imported,under_construction,2024,Khanh Hoa,1432.0,PDP8 Annex II Table 2 (NMNĐ Vân Phong I 1432MW giai đoạn 2021-2030),Report 58 Appendix (NĐ Vân Phong I 2x660MW chậm 1 năm target 2023-2024),BOT by Sumitomo; 2x716MW; Study E-542 PL9.2 noted PPA signed with COD T6/2023+T1/2024,3,False,,,False,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Van Phong,True
Son My 1 (CCGT - LNG BOT),LNG,planning,,Binh Thuan,2250.0,PDP8 Annex II Table 1 (NMND BOT Son My I 2250 MW 2021-2030),Report 32 Appendix (TBKHH Son My BOT 3x750 MW – 2028-2029 uncertain),Combined cycle LNG; BOT by GDF Suez/Sojitz-Pacific consortium; PDP7A scheduled 2027-2028; PDP8 confirms 2250 MW,3,False,,,False,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",,
An Khanh 1,coal_domestic,operating,2012,Thai Nguyen,100.0,PDP7 Annex 1 (NĐ An Khánh I #1 50MW 2012 and #2 50MW 2013),,2x50MW; IPP; uses domestic coal,3,False,,,False,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",An Khanh Phase 1,True
Mao Khe,coal_domestic,operating,2013,Quang Ninh,440.0,PDP7 Annex 1 (NĐ Mạo Khê #1-2 440MW commissioned 2013),,2x220MW; TKV-owned; uses domestic coal,3,False,,,False,True,PDP7,False,"vii Page 4-5 4-7 4-9 4-19 5-2 7-2 7-3 7-5 7-6 7-9 7-20 7-28 7-34 7-34 CHAPTER 1 PDP-7 SYSTEM DESCRIPTION PROGRAMMED DATA PROCESSOR-7 (PDP-7) is a general purpose, solid state, digital computer designe",Mao Khe,True
Long Phu 1,coal_imported,under_construction,2026,Soc Trang,1200.0,PDP8 Annex II Table 2 (NMNĐ Long Phú I 1200MW giai đoạn 2021-2030),Report 58 Appendix (NĐ Long Phú I 2x600MW chậm tiến độ có khả năng đến 48 tháng),2x600MW; PVN-owned; severely delayed due to US sanctions on Russian contractor; 78% complete then suspended per Study E-542; PDP8 still lists as under construction,3,False,,,True,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Long Phu,True
Dung Quat 1,gas_domestic,planned,2024,Quang Ngai,750.0,PDP8 Annex II Table 5 (TBKHH Dung Quất I 750MW giai đoạn 2021-2030),Report 32 Appendix 1 (TBKHH Dung Quất I 750MW đồng bộ khí CVX target 2024),EVN-owned; uses gas from Ca Voi Xanh (Blue Whale) field; synchronized with gas field development,3,False,,,True,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Dung Quat,True
Mien Trung 2,gas_domestic,planned,2025,Quang Tri,750.0,PDP8 Annex II Table 5 (TBKHH Miền Trung II 750MW giai đoạn 2021-2030),Report 58 Appendix (same as above),PVN; uses Ca Voi Xanh gas,3,False,,,True,True,PDP8,True,"The PDP-8 is a family of 12-bit minicomputers that was produced by Digital Equipment Corporation (DEC). Launched in 1965, it was the first minicomputer to sell for under $20,000, and the $25,000 mark ",Mien Trung,True
