match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref,similarity_score
exact_capacity_diff,An Khánh - Bac Giang,Quang Son 1,bac giang,thanh hoa,coal,unknown,650.0,120.0,81.5,False,False,False,,,50.0
exact_capacity_diff,An Khánh 1,Yen Bai,thai nguyen,yen bai,coal,unknown,116.0,75.0,35.3,False,True,False,,,46.15384615384615
exact_capacity_diff,Bà Rịa GT,Cao Bang,ba ria - vung tau,cao bang,gas,unknown,46.0,75.0,63.0,False,True,False,,,50.0
fuzzy_capacity_diff,Bạc Liêu 1,Bac Lieu LNG 2,bac lieu,bac lieu,coal,imported gas,1200.0,1500.0,25.0,False,False,True,,,94.73684210526316
exact_capacity_diff,Cam Pha 3,Ta Puy,quang ninh,lao cai,coal,unknown,440.0,120.0,72.7,False,False,False,,,54.54545454545454
exact_capacity_diff,Cao Ngạn,Bac Ninh,thai nguyen,bac ninh,coal,unknown,114.0,100.0,12.3,False,False,False,,,57.14285714285714
exact_capacity_diff,Cong Thanh,Bac Me,thanh hoa,ha giang,coal,unknown,600.0,120.0,80.0,False,False,False,,,36.36363636363637
exact_capacity_diff,Cà Mau I,Trung Son,ca mau,thanh hoa,gas,unknown,771.0,120.0,84.4,False,True,False,,,28.57142857142857
fuzzy_capacity_diff,Cà Mau II,Ca Mau LNG 1,ca mau,ca mau,gas,imported gas,771.0,1500.0,94.6,False,False,True,,,93.33333333333333
exact,Cẩm Phả 1,Cam Pha 1,quang ninh,quang ninh,coal,coal,340.0,1200.0,252.9,True,False,True,,,100.0
exact,Cẩm Phả 2,Cam Pha 2,quang ninh,quang ninh,coal,coal,340.0,1200.0,252.9,True,False,True,,,100.0
exact_capacity_diff,Dong Nai Formosa,Ban Ang 2,đong nai,son la,coal,unknown,150.0,120.0,20.0,False,False,False,,,44.44444444444444
exact_capacity_diff,Dong Nai Formosa,Luu Xang 2,đong nai,thanh hoa,coal,unknown,300.0,240.0,20.0,False,False,False,,,40.0
