match_type,reference_name,system_name,reference_province,system_province,reference_fuel,system_fuel,reference_capacity_mwe,system_capacity_mwe,capacity_diff_pct,fuel_match,status_match,province_match,reference_source_ref,system_source_ref
exact,An Khánh - Bac Giang,An Khanh - Bac Giang,bac giang,bac giang,coal,coal,650.0,300.0,53.8,True,False,True,,
fuzzy_capacity_diff,Cam Pha 3,Cam Pha,quang ninh,quang ninh,coal,coal,440.0,880.0,100.0,True,False,True,,
exact,Duyen Hai 3,Duyen Hai 3,tra vinh,kien giang,coal,coal,1244.0,1245.0,0.1,True,True,False,,
exact,Duyên Hải 2,Duyen Hai 2,tra vinh,tra vinh,coal,coal,1200.0,1320.0,10.0,True,True,True,,
exact,Hai Phong 1,Hai Phong 1,hai phong,hai phong,coal,coal,600.0,1200.0,100.0,True,True,True,,
fuzzy,LNG Cà Mau 1,Ca Mau 1 & 2,ca mau,ca mau,gas,gas,1500.0,1500.0,0.0,True,True,True,,
exact,LNG Hải Phòng 2 (Cát Hải),Hai Phong 2,hai phong,hai phong,coal,coal,1600.0,1200.0,25.0,True,True,True,,
fuzzy_capacity_diff,LNG Nhơn Trạch 3,Nhon Trach 3 & 4,đong nai,dong nai,gas,imported gas,750.0,1500.0,100.0,False,True,False,,
exact_capacity_diff,Long An 2,Hiep Hoa,long an,bac giang,gas,imported gas,1600.0,1600.0,0.0,False,True,False,,
exact,Long Phú 1,Long Phu 1,soc trang,soc trang,coal,coal,1200.0,1200.0,0.0,True,True,True,,
exact,Mong Duong 1,Mong Duong 1,quang ninh,quang ninh,coal,coal,1080.0,1080.0,0.0,True,True,True,,
exact,Mong Duong 2,Mong Duong 2,quang ninh,quang ninh,coal,coal,1240.0,1400.0,12.9,True,True,True,,
exact,Nghi Son 2,Nghi Son 2,thanh hoa,thanh hoa,coal,coal,1200.0,1320.0,10.0,True,True,True,,
fuzzy,NĐ Ô Môn I,O Mon,can tho,can tho,unknown,gas,660.0,660.0,0.0,False,True,True,,
fuzzy,Quang Ninh 3,Quang Ninh 1 & 2,quang ninh,quang ninh,gas,coal,1200.0,1200.0,0.0,False,False,True,,
exact,Quảng Trạch 1,Quang Trach 1,quang binh,quang binh,coal,coal,1400.0,1200.0,14.3,True,True,True,,
fuzzy_capacity_diff,Son Dong,Son Dong 1 & 2,bac giang,bac giang,coal,coal,220.0,440.0,100.0,True,True,True,,
exact,TBKHH Nhơn Trạch I,Nhon Trach 1,đong nai,dong nai,gas,gas,465.0,450.0,3.2,True,True,False,,
exact,TBKHH Nhơn Trạch II,Nhon Trach 2,đong nai,dong nai,gas,gas,750.0,750.0,0.0,True,True,False,,
exact,TBKHH Phú Mỹ 1,Phu My 1,ba ria - vung tau,ba ria - vung tau,gas,gas,1140.0,1100.0,3.5,True,True,True,,
fuzzy,TBKHH Phú Mỹ 2.1 MR,Phu My 2-1,ba ria - vung tau,ba ria - vung tau,gas,gas,450.0,450.0,0.0,True,True,True,,
fuzzy_capacity_diff,TBKHH Phú Mỹ 2.2,Phu My 2-2,ba ria - vung tau,ba ria - vung tau,gas,gas,740.0,400.0,45.9,True,True,True,,
exact,TBKHH Phú Mỹ 3,Phu My 3,ba ria - vung tau,ba ria - vung tau,gas,gas,740.0,715.0,3.4,True,True,True,,
exact,TBKHH Phú Mỹ 4,Phu My 4,ba ria - vung tau,ba ria - vung tau,gas,gas,468.0,954.0,103.8,True,True,True,,
exact,Thái Bình 2,Thai Binh 2,thai binh,thai binh,coal,coal,1200.0,1200.0,0.0,True,True,True,,
fuzzy_capacity_diff,Uong Bi I,Uong Bi Extension,quang ninh,quang ninh,coal,coal,105.0,600.0,471.4,True,False,True,,
exact,Vinh Tan 4,Vinh Tan 4,binh thuan,binh thuan,coal,coal,1200.0,1320.0,10.0,True,True,True,,
exact,Vinh Tan 4 extension,Vinh Tan 4 Extension,binh thuan,binh thuan,coal,coal,600.0,600.0,0.0,True,True,True,,
