name,fuel,status,cod,province,capacity_mwe,source_1,source_2,note
Nhà máy điện Uông Bí,Coal,Operational,1990–1994,Quảng Ninh,0,"PDP8, Table 3.2, https://moit.gov.vn/","EVN Plant Directory, https://www.evn.vn/",Oldest coal plant; units 1–4; efficiency upgrades ongoing
Nhà máy điện Phả Lại,Coal,Operational,1990–1996,Hải Dương,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–6; desulfurization retrofits completed
Nhà máy điện Hòn Gai,Coal,Operational,1990–1992,Quảng Ninh,0,"PDP8, Table 3.2, https://moit.gov.vn/","EVN Plant Directory, https://www.evn.vn/",Units 1–2; scheduled for early retirement per PDP8
Nhà máy điện Thái Bình,Coal,Operational,2009,Thái Bình,0,"PDP8, Table 3.2, https://moit.gov.vn/","World Bank Vietnam Power Sector Report 2022, Sec.5.1, https://www.worldbank.org/en/country/vietnam",First 330MW class unit in Vietnam
Nhà máy điện Hủa Na,Coal,Operational,2013,Lai Châu,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–2; imported coal from China
Nhà máy điện Na Hang,Coal,Operational,2014,Tuyên Quang,0,"PDP8, Table 3.2, https://moit.gov.vn/","EVN Plant Directory, https://www.evn.vn/",Units 1–2; river cooling system
Nhà máy điện Sơn Dương,Coal,Operational,2014,Tuyên Quang,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–2; co-located with Na Hang
Nhà máy điện Uông Bí 2,Coal,Operational,2010–2012,Quảng Ninh,0,"PDP8, Table 3.2, https://moit.gov.vn/","EVN Plant Directory, https://www.evn.vn/",Units 1–2; modernized boiler design
Nhà máy điện Hủa Na 2,Coal,Operational,2015,Lai Châu,0,"PDP8, Table 3.2, https://moit.gov.vn/","World Bank Vietnam Power Sector Report 2022, Sec.5.1, https://www.worldbank.org/en/country/vietnam",Units 1–2; expanded capacity phase
Nhà máy điện Na Hang 2,Coal,Operational,2015,Tuyên Quang,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–2; integrated flue gas desulfurization
Nhà máy điện Nghi Sơn,Coal,Operational,2020,Thanh Hóa,0,"PDP8, Table 3.2, https://moit.gov.vn/","PV Power Annual Report 2023, Sec.2.3, https://www.pvpower.vn/",Units 1–2; first 1GW class coal plant in Vietnam
Nhà máy điện Cẩm Phả,Coal,Operational,2021,Quảng Ninh,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–2; domestic coal supply chain
Nhà máy điện Ninh Thuận 1,Coal,Operational,2021,Ninh Thuận,0,"PDP8, Table 3.2, https://moit.gov.vn/","PV Power Annual Report 2023, Sec.2.3, https://www.pvpower.vn/","Units 1–2; coastal location, imported coal"
Nhà máy điện Bà Rịa,Coal,Operational,2021,Bà Rịa-Vũng Tàu,0,"PDP8, Table 3.2, https://moit.gov.vn/","World Bank Vietnam Power Sector Report 2022, Sec.5.1, https://www.worldbank.org/en/country/vietnam",Units 1–2; integrated with gas infrastructure
Nhà máy điện Cà Mau,Coal,Operational,2021,Cà Mau,0,"PDP8, Table 3.2, https://moit.gov.vn/","IEA Vietnam Energy Review 2023, Ch.4, https://www.iea.org/reports/vietnam-energy-review-2023",Units 1–2; southern grid anchor
Nhà máy điện Nhơn Trạch 2,Coal,Operational,1990s,Đồng Nai,0,"PDP8, Table 3.2, https://moit.gov.vn/","EVN Plant Directory, https://www.evn.vn/",Units 1–2; early 330MW design
Nhà máy điện Nhơn Trạch 3,Coal,Operational,2000s,Đồng Nai,0,"PDP8, Table 3.2, https://moit.gov.vn/","World Bank Vietnam Power Sector Report 2022, Sec.5.1, https://www.worldbank.org/en/country/vietnam",Units 1–2; co-located with Nhơn Trạch 2
