lab,stage,stage_name,date,source_kind,citation_key,note
OpenAI,1,Chat LLM,2022-11-30,primary-blog,openai-chatgpt-2022,Introducing ChatGPT
OpenAI,4,Files upload (RAG),2023-10-30,release-notes,openai-alltools-2023,ChatGPT All-Tools (PDF / file analysis) — release-notes only; coverage cited
OpenAI,2,Web search,2023-05-12,release-notes,openai-browse-2023,Browse with Bing rollout to Plus per release notes; blog post is plugins (2023-03-23)
OpenAI,5,Reasoning,2024-09-12,primary-blog,openai-o1-2024,Learning to Reason / o1-preview
OpenAI,7,Deep research,2025-02-02,primary-blog,openai-deep-research-2025,Introducing deep research
OpenAI,3,Code execution,2023-07-06,release-notes,openai-code-interpreter-2023,ChatGPT Code Interpreter beta rollout to Plus users (help.openai.com/en/articles/6825453-chatgpt-release-notes); alpha behind plugins waitlist 2023-03-23 (openai.com/index/chatgpt-plugins/) — release-notes date is the consumer-product threshold
OpenAI,6,External tool use (MCP),2025-01-23,primary-blog,openai-operator-2025,Introducing Operator (CUA)
OpenAI,8,Autonomous agents,2025-03-01,primary-blog,openai-agents-sdk-2025,New tools for building agents / Agents SDK (Swarm Oct 2024 was experimental)
Anthropic,1,Chat LLM,2023-03-14,primary-blog,anthropic-claude-2023,Introducing Claude
Anthropic,4,Files upload (RAG),2024-06-25,primary-blog,anthropic-projects-2024,Collaborate with Claude on Projects (file upload)
Anthropic,2,Web search,2025-03-20,primary-blog,anthropic-web-search-2025,Claude can now search the web
Anthropic,5,Reasoning,2025-02-24,primary-blog,anthropic-37-2025,Claude 3.7 Sonnet extended thinking
Anthropic,7,Deep research,2025-04-15,primary-blog,anthropic-research-2025,Claude takes research to new places
Anthropic,3,Code execution,2024-10-24,primary-blog,anthropic-analysis-tool-2024,"Introducing the analysis tool in Claude.ai (claude.com/blog/analysis-tool; originally anthropic.com/news/analysis-tool, 308 redirect); JavaScript code sandbox in Claude.ai. 2025-11-05 update note: ""replaced by more powerful code execution capabilities"""
Anthropic,6,External tool use (MCP),2024-10-22,primary-blog,anthropic-computer-use-2024,Computer use beta + Claude 3.5 Sonnet
Anthropic,8,Autonomous agents,2025-06-13,engineering-blog,anthropic-multi-agent-2025,How we built our multi-agent research system
Mistral,1,Chat LLM,2024-02-26,primary-blog,mistral-lechat-beta-2024,Le Chat beta (mistral.ai/news/le-chat-mistral) — public consumer chat product. Mistral 7B Instruct (2023-09-27) was an open-weights model release without a consumer chat interface; Le Chat beta is the first consumer product launch under the stage-1 methodology
Mistral,4,Files upload (RAG),2025-02-06,primary-blog,mistral-lechat-2025,The all new le Chat (document upload)
Mistral,2,Web search,2025-02-06,primary-blog,mistral-lechat-2025,The all new le Chat (web search in same launch)
Mistral,5,Reasoning,2025-06-10,primary-blog,mistral-magistral-2025,Magistral (first reasoning model from Mistral)
