name,fuel,status,cod,province,capacity_mwe,evidence_score_v1,evidence_score_v2,evidence_score_v3,evidence_score_median,evidence_score,verified
Uông Bí,Coal,Operational,,Quảng Ninh,105,3,1,4,3,3,True
Uông Bí Extension 1,Coal,Operational,,Quảng Ninh,300,3,1,4,3,3,True
Uông Bí Extension 2,Coal,Operational,,Quảng Ninh,330,3,1,4,3,3,True
Pha Lai 1,Coal,Operational,,Hải Dương,440,3,1,4,3,3,True
Pha Lai 2,Coal,Operational,,Hải Dương,600,4,1,4,4,4,True
Ninh Bình,Coal,Operational,,Ninh Bình,100,3,1,4,3,3,True
Hải Phòng 1,Coal,Operational,,Hải Phòng,300,3,1,4,3,3,True
Quang Ninh 1,Coal,Operational,,Quảng Ninh,300,3,1,4,3,3,True
Na Duong,Coal,Operational,,Lạng Sơn,111,3,1,4,3,3,True
Cao Nhan,Coal,Operational,,Quảng Ninh,115,3,1,4,3,3,True
Cam Pha 1 & 2,Coal,Operational,,Quảng Ninh,600,3,1,4,3,3,True
Son Dong,Coal,Operational,,Quảng Ninh,220,3,1,4,3,3,True
Formosa Hà Tĩnh #2,Coal,Operational,,Hà Tĩnh,150,3,1,4,3,3,True
Mông Dương 1,Coal,Operational,,Quảng Ninh,1080,4,1,4,4,4,True
Mông Dương 2,Coal,Operational,,Quảng Ninh,1200,4,1,4,4,4,True
Vĩnh Tân 2,Coal,Operational,,Bình Thuận,1244,4,1,4,4,4,True
Duyên Hải 1,Coal,Operational,,Trà Vinh,1244,4,1,4,4,4,True
Duyên Hải 3,Coal,Operational,,Trà Vinh,1245,4,1,4,4,4,True
Nghi Sơn 1,Coal,Operational,,Thanh Hóa,600,3,1,4,3,3,True
Quang Ninh 2,Coal,Operational,,Quảng Ninh,600,3,1,4,3,3,True
Hải Phòng 2,Coal,Operational,,Hải Phòng,600,3,1,4,3,3,True
Thai Bình 1,Coal,Operational,,Thái Bình,600,3,1,4,3,3,True
Vĩnh Tân 4,Coal,Operational,,Bình Thuận,1200,4,1,4,4,4,True
Vĩnh Tân 1,Coal,Operational,,Bình Thuận,1200,3,1,4,3,3,True
Thăng Long #1,Coal,Operational,,Thanh Hóa,300,3,1,4,3,3,True
Thăng Long #2,Coal,Operational,,Thanh Hóa,300,3,1,4,3,3,True
Formosa Hà Tĩnh #5,Coal,Operational,,Hà Tĩnh,150,3,1,4,3,3,True
Formosa Hà Tĩnh #6 & #7,Coal,Operational,,Hà Tĩnh,300,3,1,4,3,3,True
Nghi Sơn 2,Coal,Under Construction,,Thanh Hóa,1200,4,1,4,4,4,True
Hải Dương 1 & 2,Coal,Under Construction,,Hải Dương,1200,3,1,4,3,3,True
Nam Định 1,Coal,Under Construction,,Nam Định,1200,3,1,4,3,3,True
Vũng Áng 2,Coal,Under Construction,,Hà Tĩnh,1200,3,1,4,3,3,True
Quảng Trạch 1,Coal,Under Construction,,Quảng Bình,1200,4,1,4,4,4,True
Vân Phong 1,Coal,Under Construction,,Khánh Hòa,1432,4,1,4,4,4,True
Long Phú 1,Coal,Under Construction,,Sóc Trăng,1200,4,1,4,4,4,True
Sông Hậu 1,Coal,Under Construction,,Hậu Giang,1200,4,1,4,4,4,True
