clean_name,display_name,n_appearances,n_models,n_arms,models,arms,fuels,statuses,capacities,provinces,cur_score,cur_ref,new_score,new_ref
song hau 3,Nhiệt điện Sông Hậu 3,17,3,4,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,coal,cancelled;planned;proposed;unknown,1200.0;2000.0,hau giang,94.7,Sông Hậu 1,94.7,Sông Hậu 1
formosa dong nai,NĐ Formosa Đồng Nai,12,5,2,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal;unknown,operational;unknown,150.0,dong nai,84.2,Formosa HT2,84.2,Formosa HT2
nam dinh 2,NĐ Nam Định II,11,3,3,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm3;arm4,coal,cancelled;proposed;unknown,1200.0;2000.0,nam dinh,94.7,Nam Dinh 1,94.7,Nam Dinh 1
cam thanh,Cẩm Thanh,11,3,2,gpt-5.5;mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal;unknown,cancelled;unknown,600.0,quang nam;quang ninh;thanh hoa,80.0,Cong Thanh,80.0,Cong Thanh
kien giang 1,Nhiệt điện Kiên Giang 1,7,4,4,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,imported gas;unknown,cancelled;proposed,750.0,kien giang,100.0,"TBKHH Kiên Giang I, II",100.0,"TBKHH Kiên Giang I, II"
binh dinh 1,Bình Định I,7,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,1200.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định
kien giang 1 & 2,TBKHH Kiên Giang I & II,6,3,3,claude-opus-4-6;gpt-5.5-2026-04-23;qwen3.7-max-2026-05-20,arm1;arm3;arm4,coal;unknown,cancelled;unknown,1500.0,,92.9,"TBKHH Kiên Giang I, II",92.9,"TBKHH Kiên Giang I, II"
binh dinh 2,Bình Định II,6,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,1200.0;2000.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định
dam phu my,Đạm Phú Mỹ,6,2,2,gpt-5.5;mistral-large-2512,arm3;arm4,gas;unknown,operational,21.0,ba ria - vung tau;ba ria–vung tau,85.7,TBKHH Phú Mỹ 1,85.7,TBKHH Phú Mỹ 1
phu tho,Phú Thọ,5,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,300.0;600.0,phu tho,72.7,LNG Phú Mỹ 3.1,72.7,LNG Phú Mỹ 3.1
kim son,Kim Sơn,5,2,2,gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,3000.0,ninh binh,83.3,LNG Nghi Sơn (Thanh Hóa),83.3,LNG Nghi Sơn (Thanh Hóa)
cong thanh,LNG Công Thanh,4,2,4,claude-opus-4-6;gpt-5.5-2026-04-23,arm1;arm2;arm3;arm4,coal;unknown,proposed;unknown,1500.0,thanh hoa,100.0,Cong Thanh,100.0,Cong Thanh
yen hung,NĐ Yên Hưng,4,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,1200.0,quang ninh,75.0,Kiên Lương 1,75.0,Kiên Lương 1
uong bi 3,NĐ Uông Bí III,4,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,1200.0,quang ninh,94.1,Uong Bi I,94.1,Uong Bi I
can tho,"NĐ Cần Thơ (S4, dầu)",3,2,2,claude-opus-4-6;qwen3.7-max-2026-05-20,arm3;arm4,gas;unknown,operational;unknown,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ
thu duc,TBK Thủ Đức,3,2,2,claude-opus-4-6;qwen3.7-max-2026-05-20,arm3;arm4,gas;oil;unknown,operational,113.0;114.0,tp ho chi minh;tp.hcm,100.0,NĐ Thủ Đức,100.0,NĐ Thủ Đức
vedan / ve dan,NĐ Vedan / Vê Đan,3,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,unknown,operational;unknown,60.0;72.0,dong nai,72.0,Vedan Vietnam Cogeneration power station,72.0,Vedan Vietnam Cogeneration power station
than an giang,NĐ Than An Giang,3,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled,2000.0,an giang,85.7,LNG Mỹ Giang,85.7,LNG Mỹ Giang
dien khi ba ria,Nhà máy Điện khí Bà Rịa,3,1,1,qwen3.7-max-2026-05-20,arm1,unknown,operational,240.0;276.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2
hai ha 2–4,NĐ đồng phát Hải Hà 2–4,3,1,1,claude-opus-4-6,arm3,coal;unknown,proposed;unknown,1800.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1
bourbon,Bourbon,3,1,1,mistral-large-2512,arm3,oil,operational;retired,24.0,ba ria - vung tau,60.0,Uong Bi I,60.0,Uong Bi I
phu yen,Phú Yên,3,1,2,mistral-large-2512,arm3;arm4,coal,planned;proposed,4000.0,phu yen,76.9,LNG Phú Mỹ 3.1,76.9,LNG Phú Mỹ 3.1
mien trung 3,TBKHH Miền Trung III,3,1,1,gpt-5.5,arm3,unknown,cancelled,750.0,quang nam / quang ngai;quang nam / quang ngai unresolved;quang ngai / quang tri uncertain,95.7,TBKHH miền Trung I,95.7,TBKHH miền Trung I
dien ba ria,Nhà máy điện Bà Rịa,2,2,1,gpt-5.5;qwen3.7-max-2026-05-20,arm1,unknown,operational,310.0;389.0,ba ria - vung tau,85.7,TBKHH Bà Rịa 2,85.7,TBKHH Bà Rịa 2
hai ha 1-4,Hải Hà I-IV (đang phát),2,2,2,mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal,operational;proposed,1800.0;2100.0,quang ninh,82.4,Hai Ha CHP Phase 1,82.4,Hai Ha CHP Phase 1
can tho s4,NĐ Cần Thơ S4,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,unknown,operational;unknown,33.0,can tho,100.0,NĐ Cần Thơ,100.0,NĐ Cần Thơ
an giang,NĐ An Giang,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,cancelled;unknown,2000.0,an giang,87.5,An Khánh - Bac Giang,87.5,An Khánh - Bac Giang
formosa ha tinh hien huu,Nhiệt điện Formosa Hà Tĩnh hiện hữu,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,150.0,ha tinh,100.0,LNG Hà Tĩnh,100.0,LNG Hà Tĩnh
than ve dan,Nhiệt điện than Vê Đan,2,2,2,gpt-5.5;gpt-5.5-2026-04-23,arm3;arm4,coal,operational,60.0,dong nai,72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau",72.7,"LNG Tân Thuận – Đầm Dơi, Cà Mau"
uong bi ext 2,Uông Bí Ext 2,2,2,1,claude-opus-4-6;qwen3.7-max-2026-05-20,arm4,coal;unknown,operational;unknown,330.0,quang ninh,94.1,Uong Bi I,94.1,Uong Bi I
an khanh 2,NĐ An Khánh II,2,2,1,gpt-5.5-2026-04-23;qwen3.7-max-2026-05-20,arm4,coal,cancelled;operational,300.0,bac giang/thai nguyen;thai nguyen,94.7,An Khánh - Bac Giang,94.7,An Khánh - Bac Giang
