model,run,ref_name,sys_name,ref_name_clean,sys_name_clean,similarity_score,ref_capacity,sys_capacity,capacity_diff_pct,verdict
claude-haiku-4.5,run1,An Khánh 1,Nhà máy Nhiệt điện Quảng Ngãi,an khanh 1,nha may nhiet đien quang ngai,57.1,116.0,200.0,72.4,clear
claude-haiku-4.5,run1,Bà Rịa GT,Nhà máy Nhiệt điện Hồ Chí Minh Mở rộng,ba ria gt,nha may nhiet đien ho chi minh mo rong,47.1,46.0,100.0,117.4,clear
claude-haiku-4.5,run1,Cao Ngạn,Nhà máy Nhiệt điện Phú Yên,cao ngan,nha may nhiet đien phu yen,50.0,114.0,200.0,75.4,clear
claude-haiku-4.5,run1,Cong Thanh,Nhà máy Nhiệt điện Phú Mỹ 2,cong thanh,nha may nhiet đien phu my 2,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run1,Cẩm Phả 1,Nhà máy Nhiệt điện Thừa Thiên–Huế,cam pha 1,nha may nhiet đien thua thien–hue,47.1,340.0,200.0,41.2,clear
claude-haiku-4.5,run1,Cẩm Phả 2,Nhà máy Nhiệt điện Khánh Hòa,cam pha 2,nha may nhiet đien khanh hoa,50.0,340.0,200.0,41.2,clear
claude-haiku-4.5,run1,Dong Nai Formosa,Nhà máy Nhiệt điện Tiền Giang,dong nai formosa,nha may nhiet đien tien giang,45.5,150.0,200.0,33.3,clear
claude-haiku-4.5,run1,Dong Nai Formosa,Nhà máy Nhiệt điện Long An,dong nai formosa,nha may nhiet đien long an,45.5,300.0,200.0,33.3,clear
claude-haiku-4.5,run1,Duc Giang - Lao Cai Chemical,Nhà máy Nhiệt điện Hồ Chí Minh,duc giang - lao cai chemical,nha may nhiet đien ho chi minh,48.9,100.0,100.0,0.0,clear
claude-haiku-4.5,run1,Hai Ha CHP Phase 1,Nhà máy Nhiệt điện Hậu Giang,hai ha chp phase 1,nha may nhiet đien hau giang,50.0,150.0,200.0,33.3,clear
claude-haiku-4.5,run1,Hai Ha CHP Phase 4,Nhà máy Nhiệt điện Phú Mỹ Mở rộng,hai ha chp phase 4,nha may nhiet đien phu my mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run1,Lee & Man,Nhà máy Nhiệt điện Sóc Trăng,lee & man,nha may nhiet đien soc trang,44.4,125.0,200.0,60.0,clear
claude-haiku-4.5,run1,Na Dương 1,Nhà máy Nhiệt điện Đồng Nai,na duong 1,nha may nhiet đien đong nai,60.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run1,Na Dương 2,Nhà máy Nhiệt điện Bà Rịa–Vũng Tàu,na duong 2,nha may nhiet đien ba ria–vung tau,50.0,110.0,200.0,81.8,clear
claude-haiku-4.5,run1,Nghi Son 1,Nhà máy Nhiệt điện Tây Bắc Mở rộng,nghi son 1,nha may nhiet đien tay bac mo rong,50.0,600.0,600.0,0.0,clear
claude-haiku-4.5,run1,Nong Son 1,Nhà máy Nhiệt điện Cạn Thơ,nong son 1,nha may nhiet đien can tho,42.1,30.0,100.0,233.3,clear
claude-haiku-4.5,run1,NĐ Hiệp Phước,Nhà máy Nhiệt điện Vĩnh Long,nđ hiep phuoc,nha may nhiet đien vinh long,46.2,310.0,200.0,35.5,clear
claude-haiku-4.5,run1,NĐ Thủ Đức,Nhà máy Nhiệt điện Ninh Thuận,nđ thu đuc,nha may nhiet đien ninh thuan,55.6,290.0,200.0,31.0,clear
claude-haiku-4.5,run1,Phả Lại 2,Nhà máy Nhiệt điện Ninh Bình Mở rộng,pha lai 2,nha may nhiet đien ninh binh mo rong,58.8,600.0,600.0,0.0,clear
claude-haiku-4.5,run1,Son Dong,Nhà máy Nhiệt điện Hưng Yên,son dong,nha may nhiet đien hung yen,50.0,220.0,200.0,9.1,clear
claude-haiku-4.5,run1,TBKHH Bà Rịa 1,Nhà máy Nhiệt điện Tây Bắc,ba ria 1,nha may nhiet đien tay bac,50.0,169.0,200.0,18.3,clear
claude-haiku-4.5,run1,TBKHH Bà Rịa 2,Nhà máy Nhiệt điện Kiên Giang,ba ria 2,nha may nhiet đien kien giang,50.0,175.0,200.0,14.3,clear
claude-haiku-4.5,run1,Thang Long,Nhà máy Nhiệt điện Vĩnh Tân 5,thang long,nha may nhiet đien vinh tan 5,53.3,600.0,600.0,0.0,clear
claude-haiku-4.5,run1,Uong Bi I,Nhà máy Nhiệt điện Hà Nội Mở rộng,uong bi 1,nha may nhiet đien ha noi mo rong,50.0,105.0,100.0,4.8,clear
claude-haiku-4.5,run1,Uong Bi I extension,Nhà máy Nhiệt điện Cà Mau,uong bi 1 extension,nha may nhiet đien ca mau,37.8,300.0,200.0,33.3,clear
claude-haiku-4.5,run1,Uong Bi II extension,Nhà máy Nhiệt điện Đà Nẵng,uong bi 2 extension,nha may nhiet đien đa nang,37.8,330.0,200.0,39.4,clear
claude-haiku-4.5,run1,Vedan Vietnam Cogeneration power station,Nhà máy Nhiệt điện Hà Nội,vedan vietnam cogeneration power station,nha may nhiet đien ha noi,44.0,60.0,100.0,66.7,clear
claude-haiku-4.5,run2,An Khánh - Bac Giang,Nhà máy Nhiệt điện Bình Định Mở rộng,an khanh - bac giang,nha may nhiet đien binh đinh mo rong,50.0,650.0,200.0,69.2,clear
claude-haiku-4.5,run2,An Khánh 1,Nhà máy Nhiệt điện Đồng Nai,an khanh 1,nha may nhiet đien đong nai,57.1,116.0,200.0,72.4,clear
claude-haiku-4.5,run2,Bà Rịa GT,Nhà máy Nhiệt điện Hồ Chí Minh,ba ria gt,nha may nhiet đien ho chi minh,47.1,46.0,100.0,117.4,clear
claude-haiku-4.5,run2,Cam Pha 3,Nhà máy Nhiệt điện Tây Bắc,cam pha 3,nha may nhiet đien tay bac,47.1,440.0,200.0,54.5,clear
claude-haiku-4.5,run2,Cao Ngạn,Nhà máy Nhiệt điện Ninh Thuận,cao ngan,nha may nhiet đien ninh thuan,50.0,114.0,200.0,75.4,clear
claude-haiku-4.5,run2,Cong Thanh,Nhà máy Nhiệt điện Tiền Giang,cong thanh,nha may nhiet đien tien giang,50.0,600.0,200.0,66.7,clear
