clean_name,display_name,n_appearances,n_models,n_arms,models,arms,fuels,statuses,capacities,provinces,cur_score,cur_ref,new_score,new_ref,category
nhon trach 3 & 4,Nhơn Trạch 3 & 4,29,3,4,claude-opus-4-6;mistral-large-2512;qwen3.7-max-2026-05-20,arm1;arm2;arm3;arm4,gas;imported gas;unknown,constructing;operational;planned;unknown,1500.0;1600.0;1620.0;1624.0;1760.0,dong nai,100.0,LNG Nhơn Trạch 3,100.0,LNG Nhơn Trạch 3,matcher_fail_lp_veto
song hau 3,Nhiệt điện Sông Hậu 3,17,3,4,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,coal,cancelled;planned;proposed;unknown,1200.0;2000.0,hau giang,94.7,Sông Hậu 1,94.7,Sông Hậu 1,matcher_fail_lp_veto
kien luong,Kiên Lương,13,3,4,claude-opus-4-6;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm2;arm3;arm4,coal,cancelled;proposed,1800.0;1900.0;2400.0;3600.0;4400.0,kien giang,75.0,"TBKHH Kiên Giang I, II",75.0,"TBKHH Kiên Giang I, II",reference_hole
formosa dong nai,NĐ Formosa Đồng Nai,12,5,2,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal;unknown,operational;unknown,150.0,dong nai,84.2,Formosa HT2,84.2,Formosa HT2,statistical_borderline
khi du hoa phat 2,NĐ khí dư Hòa Phát II,11,5,2,claude-opus-4-6;gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal;unknown,constructing;operational;planned;proposed;unknown,300.0,ha tinh;hai duong;hai duong / dung quat unclear;hai duong / dung quat unresolved;hai duong / dung quat?;not found;quang ngai;quang ngai / dung quat,82.4,Cẩm Phả 2,82.4,Cẩm Phả 2,reference_hole
nam dinh 2,NĐ Nam Định II,11,3,3,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm1;arm3;arm4,coal,cancelled;proposed;unknown,1200.0;2000.0,nam dinh,94.7,Nam Dinh 1,94.7,Nam Dinh 1,matcher_fail_lp_veto
cam thanh,Cẩm Thanh,11,3,2,gpt-5.5;mistral-large-2512;qwen3.7-max-2026-05-20,arm3;arm4,coal;unknown,cancelled;unknown,600.0,quang nam;quang ninh;thanh hoa,80.0,Cong Thanh,80.0,Cong Thanh,statistical_borderline
ca mau 1 & 2,Nhiệt điện Cà Mau 1 & 2,10,3,4,claude-opus-4-6;mistral-large-2512;qwen3.7-max-2026-05-20,arm1;arm2;arm3;arm4,gas;unknown,operational,1500.0;3000.0,ca mau,100.0,LNG Cà Mau 1,100.0,LNG Cà Mau 1,matcher_fail_lp_veto
binh dinh 1,Bình Định I,8,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed,1200.0,binh dinh,100.0,LNG Bình Định,100.0,LNG Bình Định,matcher_fail_lp_veto
rang dong,Rạng Đông,8,3,2,gpt-5.5;gpt-5.5-2026-04-23;mistral-large-2512,arm3;arm4,coal,cancelled;planned;proposed;unknown,100.0;2400.0,nam dinh,82.4,Thang Long,82.4,Thang Long,reference_hole
