Name,Province,Fuel,Capacity,Status,COD Year,Sources
An Khánh - Bắc Giang,Bắc Giang,Coal (Local),650,Constructing,2023,"[1,2]"
Bạc Liêu LNG,Bạc Liêu,LNG,3200,Planned,2026-2027,"[1,3]"
Bà Rịa,Bà Rịa - Vũng Tàu,Natural Gas,389,Operational,1995,"[4,5]"
Cà Mau 1&2,Cà Mau,Natural Gas,1500,Operational,2008,"[4,5]"
Cần Thơ,Cần Thơ,Oil/Gas,150,Retired,2011,"[4,5]"
Cẩm Phả,Quảng Ninh,Coal (Local),600,Operational,2010,"[4,5]"
Công Thanh,Thanh Hóa,Coal (Import),600,Planned,2024,"[1,2]"
Dung Quất I-III,Quảng Ngãi,Natural Gas,2250,Planned,2024-2025,"[1,3]"
Duyên Hải I,Trà Vinh,Coal (Import),1244,Operational,2016,"[4,5]"
Duyên Hải II,Trà Vinh,Coal (Import),1320,Constructing,2021-2022,"[1,2]"
Duyên Hải III,Trà Vinh,Coal (Import),1245,Operational,2017,"[4,5]"
Duyên Hải III MR,Trà Vinh,Coal (Import),660,Operational,2019,"[4,5]"
Formosa Hà Tĩnh,Hà Tĩnh,Coal (Import),650,Operational,2020,"[1,2]"
Hải Dương,Hải Dương,Coal (Import),1200,Operational,2021,"[1,2]"
Hải Phòng I,Hải Phòng,Coal (Local),600,Operational,2011,"[4,5]"
Hải Phòng II,Hải Phòng,Coal (Local),600,Operational,2014,"[4,5]"
Hiệp Phước,TP Hồ Chí Minh,LNG,1200,Planned,2025-2026,"[1,3]"
Long An I&II,Long An,LNG,3000,Planned,2025-2027,"[1,3]"
Long Phú I,Sóc Trăng,Coal (Import),1200,Suspended,2023,"[1,2]"
Long Sơn,Bà Rịa - Vũng Tàu,LNG,1500,Planned,2031-2035,"[1,3]"
Mông Dương I,Quảng Ninh,Coal (Local),1080,Operational,2015,"[4,5]"
Na Dương II,Lạng Sơn,Coal (Local),110,Constructing,2023,"[1,2]"
Nam Định I,Nam Định,Coal (Import),1200,Planned,2026,"[1,2]"
Nghi Sơn I,Thanh Hóa,Coal (Import),600,Operational,2014,"[4,5]"
Nghi Sơn II,Thanh Hóa,Coal (Import),1200,Constructing,2022,"[1,2]"
Nhơn Trạch 1,Đồng Nai,Natural Gas,450,Operational,2008,"[4,5]"
Nhơn Trạch 2,Đồng Nai,Natural Gas,750,Operational,2011,"[4,5]"
Nhơn Trạch 3&4,Đồng Nai,LNG,1624,Constructing,2024-2025,"[1,3]"
Ninh Bình,Ninh Bình,Coal (Local),100,Operational,1974,"[4,5]"
Ô Môn I,Cần Thơ,Natural Gas,660,Operational,2009,"[4,5]"
Ô Môn II,Cần Thơ,Natural Gas,1050,Planned,2025-2026,"[1,3]"
Ô Môn III,Cần Thơ,Natural Gas,1050,Planned,2025,"[1,3]"
Ô Môn IV,Cần Thơ,Natural Gas,1050,Planned,2026,"[1,3]"
Phả Lại I,Hải Dương,Coal (Local),440,Operational,1986,"[4,5]"
Phả Lại II,Hải Dương,Coal (Local),600,Operational,2002,"[4,5]"
Phú Mỹ 1,Bà Rịa - Vũng Tàu,Natural Gas,1108,Operational,2002,"[4,5]"
Phú Mỹ 2.1,Bà Rịa - Vũng Tàu,Natural Gas,896,Operational,2003,"[4,5]"
Phú Mỹ 4,Bà Rịa - Vũng Tàu,Natural Gas,458,Operational,2004,"[4,5]"
Quảng Ninh I,Quảng Ninh,Coal (Local),600,Operational,2011,"[4,5]"
Quảng Ninh II,Quảng Ninh,Coal (Local),600,Operational,2013,"[4,5]"
Quảng Trạch I,Quảng Bình,Coal (Import),1403,Constructing,2025,"[1,2]"
Quảng Trị,Quảng Trị,Coal (Import),1320,Planned,2026-2027,"[1,2]"
Quỳnh Lập I,Nghệ An,Coal (Import),1200,Planned,2026,"[1,2]"
Sông Hậu I,Hậu Giang,Coal (Import),1200,Operational,2021,"[1,2]"
Sông Hậu II,Hậu Giang,Coal (Import),2120,Planned,2027,"[1,2]"
Sơn Mỹ I,Bình Thuận,LNG,2250,Planned,2026-2028,"[1,3]"
Sơn Mỹ II,Bình Thuận,LNG,2250,Planned,2027,"[1,3]"
Thái Bình I,Thái Bình,Coal (Local),600,Operational,2017,"[4,5]"
Thái Bình II,Thái Bình,Coal (Local),1200,Constructing,2022,"[1,2]"
Thu Đức,TP Hồ Chí Minh,Oil/Gas,278,Retired,2019,"[4,5]"
Uông Bí,Quảng Ninh,Coal (Local),105,Retired,2020,"[4,5]"
Uông Bí MR,Quảng Ninh,Coal (Local),630,Operational,2009,"[4,5]"
Vân Phong I,Khánh Hòa,Coal (Import),1432,Constructing,2023-2024,"[1,2]"
Vĩnh Tân I,Bình Thuận,Coal (Import),1200,Operational,2019,"[4,5]"
Vĩnh Tân II,Bình Thuận,Coal (Import),1244,Operational,2015,"[4,5]"
Vĩnh Tân III,Bình Thuận,Coal (Import),1980,Planned,2026-2027,"[1,2]"
Vĩnh Tân IV,Bình Thuận,Coal (Import),1200,Operational,2017,"[4,5]"
Vĩnh Tân IV MR,Bình Thuận,Coal (Import),600,Operational,2019,"[4,5]"
Vũng Áng II,Hà Tĩnh,Coal (Import),1330,Constructing,2025,"[1,2]"
