name,fuel,status,cod,province,capacity_mwe,plan_origin,notes,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
--- COAL-FIRED PLANTS — OPERATING ---,,,,,,,,,none,,none,1,False
Uong Bi (all units combined),Coal,Operating,1964-2014 (expanded over time),Quang Ninh,630,Pre-PDP7,Multiple expansion phases,,none,,none,1,False
Pha Lai 1,Coal,Operating,1983-1986,Hai Duong,440,Pre-PDP7,Soviet-built; ageing fleet,,none,,none,1,False
Pha Lai 2,Coal,Operating,2001-2002,Hai Duong,600,Pre-PDP7,Japanese ODA financed,,none,,none,1,False
Ninh Binh Thermal Power,Coal,Operating,1974 (refurbished),Ninh Binh,100,Pre-PDP7,One of Vietnam's oldest plants,,none,,none,1,False
Na Duong 1,Coal,Operating,2004,Lang Son,110,Pre-PDP7,Uses local lignite,,none,,none,1,False
Cao Ngan,Coal,Operating,2008,Thai Nguyen,100,Pre-PDP7,,,none,,none,1,False
An Khanh 1,Coal,Operating,~2015,Thai Nguyen,110,PDP7,,,none,,none,1,False
Son Dong,Coal,Operating,~2014,Bac Giang,220,PDP7,,,none,,none,1,False
Cam Pha 1,Coal,Operating,2010,Quang Ninh,300,PDP7,,,none,,none,1,False
Cam Pha 2,Coal,Operating,2012,Quang Ninh,370,PDP7,,,none,,none,1,False
Mong Duong 1,Coal,Operating,2015,Quang Ninh,1080,PDP7,EVN,,none,,none,1,False
Mong Duong 2 (BOT),Coal,Operating,2015,Quang Ninh,1200,PDP7,AES BOT,,none,,none,1,False
Quang Ninh 1,Coal,Operating,2010,Quang Ninh,600,PDP7,,,none,,none,1,False
Quang Ninh 2,Coal,Operating,2014,Quang Ninh,600,PDP7,,,none,,none,1,False
Thang Long (Quang Ninh),Coal,Operating,~2018,Quang Ninh,600,PDP7,Geleximco developer,,none,,none,1,False
Hai Phong 1,Coal,Operating,2010-2011,Hai Phong,600,PDP7,,,none,,none,1,False
Hai Phong 2,Coal,Operating,2013-2014,Hai Phong,600,PDP7,,,none,,none,1,False
Hai Duong BOT (Jaks/CPECC),Coal,Operating,2022,Hai Duong,1200,PDP7 revised,Malaysian-Chinese BOT,,none,,none,1,False
Thai Binh 1,Coal,Operating,2018,Thai Binh,600,PDP7,,,none,,none,1,False
Thai Binh 2,Coal,Operating,2022,Thai Binh,600,PDP7,PVN project; long delayed,,none,,none,1,False
Mao Khe,Coal,Operating,2015,Quang Ninh,440,PDP7,,,none,,none,1,False
Nghi Son 1,Coal,Operating,2013-2014,Thanh Hoa,600,PDP7,,,none,,none,1,False
Nghi Son 2 (BOT),Coal,Operating,2022-2023,Thanh Hoa,1200,PDP7 revised,Japanese-led BOT (Marubeni/KEPCO),,none,,none,1,False
Vung Ang 1,Coal,Operating,2014-2015,Ha Tinh,1200,PDP7,,,none,,none,1,False
Formosa Ha Tinh Steel (captive),Coal,Operating,2017,Ha Tinh,650,Industrial captive,Taiwanese steel complex,,none,,none,1,False
Vinh Tan 1 (BOT),Coal,Operating,2018,Binh Thuan,1200,PDP7,Chinese BOT,,none,,none,1,False
Vinh Tan 2,Coal,Operating,2014-2015,Binh Thuan,1244,PDP7,EVN,,none,,none,1,False
Vinh Tan 4,Coal,Operating,2017-2019,Binh Thuan,1200,PDP7,,,none,,none,1,False
Vinh Tan 4 Extension,Coal,Operating,2020,Binh Thuan,600,PDP7 revised,,,none,,none,1,False
Duyen Hai 1,Coal,Operating,2015-2016,Tra Vinh,1245,PDP7,,,none,,none,1,False
Duyen Hai 2 (BOT),Coal,Operating,2021,Tra Vinh,1200,PDP7 revised,Malaysian BOT (Janakuasa),,none,,none,1,False
Duyen Hai 3,Coal,Operating,2017,Tra Vinh,1245,PDP7,,,none,,none,1,False
Duyen Hai 3 Extension,Coal,Operating,2019,Tra Vinh,688,PDP7 revised,,,none,,none,1,False
Song Hau 1,Coal,Operating,2022,Hau Giang,1200,PDP7,Long delayed; Lilama EPC,,none,,none,1,False
Hoa Phat Dung Quat (captive steel),Coal,Operating,~2019-2020,Quang Ngai,240,Industrial captive,Hoa Phat steel complex,,none,,none,1,False
Hoa Phat Hai Duong (captive steel),Coal,Operating,~2016,Hai Duong,120,Industrial captive,,,none,,none,1,False
Lee & Man Hau Giang (captive paper),Coal,Operating,~2019,Hau Giang,75,Industrial captive,,,none,,none,1,False
Pomina Steel (captive),Coal/Mixed,Operating,Various,Ba Ria-Vung Tau,30,Industrial captive,,,none,,none,1,False
--- COAL-FIRED PLANTS — UNDER CONSTRUCTION ---,,,,,,,,,none,,none,1,False
Vung Ang 2 (BOT),Coal,Under Construction,~2026-2027,Ha Tinh,1200,PDP7 revised / carried to PDP8,Mitsubishi-led BOT,,none,,none,1,False
Quang Trach 1,Coal,Under Construction,~2025-2026,Quang Binh,1200,PDP7 revised / carried to PDP8,EVN project,,none,,none,1,False
Van Phong 1 (BOT),Coal,Under Construction,~2027,Khanh Hoa,1320,PDP7 revised / carried to PDP8,Sumitomo-led BOT,,none,,none,1,False
Long Phu 1,Coal,Under Construction (stalled),Delayed/Uncertain,Soc Trang,1200,PDP7 revised / carried to PDP8,Toshiba withdrew; sanctions issues,,none,,none,1,False
--- COAL-FIRED PLANTS — PLANNED (PDP7 revised; carried to or modified in PDP8) ---,,,,,,,,,none,,none,1,False
Nam Dinh 1,Coal,Planned/Pre-construction,~2026-2028,Nam Dinh,1200,PDP7 revised / PDP8,BOT; developer selection unclear,,none,,none,1,False
Na Duong 2,Coal,Planned,~2027-2030,Lang Son,110,PDP7 revised / PDP8,Local lignite,,none,,none,1,False
An Khanh 2,Coal,Planned/Uncertain,Uncertain,Thai Nguyen,110,PDP7 revised,Status unclear in PDP8,,none,,none,1,False
Cong Thanh (Thanh Hoa),Coal,Planned/Uncertain,Uncertain,Thanh Hoa,600,PDP7 revised,Private IPP; status unclear,,none,,none,1,False
--- COAL-FIRED PLANTS — IN PDP7 REVISED BUT CANCELLED / REMOVED IN PDP8 ---,,,,,,,,,none,,none,1,False
Vinh Tan 3,Coal,Cancelled (converted to LNG study),Cancelled as coal,Binh Thuan,1980,PDP7 revised,Removed from PDP8 as coal plant,,none,,none,1,False
Long Phu 2,Coal,Cancelled/Removed,Cancelled,Soc Trang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Long Phu 3,Coal,Cancelled/Removed,Cancelled,Soc Trang,1800,PDP7 revised,Removed from PDP8,,none,,none,1,False
Song Hau 2,Coal,Cancelled/Removed,Cancelled,Hau Giang,2000,PDP7 revised,Toyo Ink/Removed from PDP8,,none,,none,1,False
Quang Tri Coal,Coal,Cancelled/Removed,Cancelled,Quang Tri,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Tan Phuoc 1 (Tien Giang),Coal,Cancelled/Removed,Cancelled,Tien Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Tan Phuoc 2 (Tien Giang),Coal,Cancelled/Removed,Cancelled,Tien Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Bac Lieu Coal,Coal,Cancelled/Removed,Cancelled,Bac Lieu,1200,PDP7 revised,Replaced by LNG concept,,none,,none,1,False
An Giang Coal (Binh Long),Coal,Cancelled/Removed,Cancelled,An Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Soc Trang (additional),Coal,Cancelled/Removed,Cancelled,Soc Trang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Kien Giang Coal (Kien Luong),Coal,Cancelled/Removed,Cancelled,Kien Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Quang Ninh 3,Coal,Cancelled/Removed,Cancelled,Quang Ninh,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Hai Phong 3,Coal,Cancelled/Removed,Cancelled,Hai Phong,2400,PDP7 revised,Removed from PDP8,,none,,none,1,False
Luc Nam (Bac Giang),Coal,Cancelled/Removed,Cancelled,Bac Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Quang Ngai Coal,Coal,Cancelled/Removed,Cancelled,Quang Ngai,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Binh Dinh Coal,Coal,Cancelled/Removed,Cancelled,Binh Dinh,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Phu Yen Coal,Coal,Cancelled/Removed,Cancelled,Phu Yen,1320,PDP7 revised,Removed from PDP8,,none,,none,1,False
Ninh Thuan Coal,Coal,Cancelled/Removed,Cancelled,Ninh Thuan,1200,PDP7 revised,Site repurposed for LNG/renewables,,none,,none,1,False
Dung Quat 1 (expansion),Coal,Cancelled/Removed,Cancelled,Quang Ngai,600,PDP7 revised,Removed from PDP8,,none,,none,1,False
Mong Duong 3,Coal,Cancelled/Removed,Cancelled,Quang Ninh,1000,PDP7 revised,Removed from PDP8,,none,,none,1,False
Vung Ang 3,Coal,Cancelled/Removed,Cancelled,Ha Tinh,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Nghi Son 3,Coal,Cancelled/Removed,Cancelled,Thanh Hoa,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
Song Hau 3,Coal,Cancelled/Removed,Cancelled,Hau Giang,1200,PDP7 revised,Removed from PDP8,,none,,none,1,False
--- GAS-FIRED PLANTS (LOCAL NATURAL GAS) — OPERATING ---,,,,,,,,,none,,none,1,False
Ba Ria (gas turbine),Local Natural Gas,Operating,1996,Ba Ria-Vung Tau,389,Pre-PDP7,Open cycle GT,,none,,none,1,False
Phu My 1,Local Natural Gas,Operating,2002,Ba Ria-Vung Tau,1090,Pre-PDP7,CCGT,,none,,none,1,False
Phu My 2.1,Local Natural Gas,Operating,2002,Ba Ria-Vung Tau,444,Pre-PDP7,CCGT,,none,,none,1,False
Phu My 2.1 Extension (BOT),Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,436,Pre-PDP7,EDF BOT,,none,,none,1,False
Phu My 2.2 (BOT),Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,733,Pre-PDP7,Sembcorp BOT; now CCGT,,none,,none,1,False
Phu My 3 (BOT),Local Natural Gas,Operating,2004,Ba Ria-Vung Tau,740,Pre-PDP7,BP/Sembcorp,,none,,none,1,False
Phu My 4,Local Natural Gas,Operating,2005,Ba Ria-Vung Tau,468,Pre-PDP7,,,none,,none,1,False
Nhon Trach 1,Local Natural Gas,Operating,2009,Dong Nai,450,PDP7,PV Power,,none,,none,1,False
Nhon Trach 2,Local Natural Gas,Operating,2011,Dong Nai,750,PDP7,PV Power CCGT,,none,,none,1,False
Ca Mau 1,Local Natural Gas,Operating,2008,Ca Mau,750,PDP7,PV Power,,none,,none,1,False
Ca Mau 2,Local Natural Gas,Operating,2008,Ca Mau,750,PDP7,PV Power,,none,,none,1,False
O Mon 1,Local Natural Gas,Operating,2009,Can Tho,660,PDP7,Uses PM3-CAA gas,,none,,none,1,False
Thu Duc (gas turbine),Local Natural Gas,Operating,1997 (converted from oil),Ho Chi Minh City,170,Pre-PDP7,Low utilisation,,none,,none,1,False
My Xuan B2,Local Natural Gas,Operating,~2002,Ba Ria-Vung Tau,128,Pre-PDP7,,,none,,none,1,False
Hiep Phuoc Gas Turbine,Local Natural Gas / Oil,Operating,Various,Ho Chi Minh City,375,Pre-PDP7,Mixed fuel capability,,none,,none,1,False
Long Son Petrochemical (captive CCGT),Local Natural Gas,Operating,~2023,Ba Ria-Vung Tau,~45,Industrial captive,SCG/Thai project,,none,,none,1,False
--- GAS-FIRED / BLOCK B GAS — PLANNED (PDP7/PDP8) ---,,,,,,,,,none,,none,1,False
O Mon 2,Local Natural Gas (Block B) / LNG supplement,Planned/Pre-construction,~2026-2028,Can Tho,750,PDP7 revised / PDP8,Awaiting Block B gas; may use LNG,,none,,none,1,False
O Mon 3,Imported LNG / Block B gas,Planned,~2027-2028,Can Tho,750,PDP7 revised / PDP8,Japanese ODA considered,,none,,none,1,False
O Mon 4,Imported LNG / Block B gas,Planned,~2027-2028,Can Tho,750,PDP7 revised / PDP8,,,none,,none,1,False
Block B — O Mon Gas Pipeline,Local Natural Gas (offshore),Under development,~2026-2027,Offshore to Can Tho,N/A — pipeline infrastructure,PDP7/PDP8,PVEP/MOECO/PTTEP consortium,,none,,none,1,False
--- LNG IMPORT TERMINALS — OPERATING OR UNDER CONSTRUCTION ---,,,,,,,,,none,,none,1,False
Thi Vai LNG Terminal (PV GAS),LNG Import Terminal,Operational/Commissioning,2023 (first cargo Jul 2023),Ba Ria-Vung Tau,1 MTPA (expandable to 3 MTPA),PDP8 era,Vietnam's first LNG terminal; feeds Nhon Trach 3&4,,none,,none,1,False
Hai Linh LNG Terminal (Cai Mep),LNG Import Terminal,Operational/Commissioning,2023 (first cargo 2023),Ba Ria-Vung Tau,~1 MTPA initially,Private,Private terminal; industrial supply initially,,none,,none,1,False
--- LNG-TO-POWER PLANTS — UNDER CONSTRUCTION ---,,,,,,,,,none,,none,1,False
Nhon Trach 3 (PV Power),Imported LNG,Under Construction,~2025-2026,Dong Nai,750,PDP8,GE 9HA turbine; fed by Thi Vai terminal,,none,,none,1,False
Nhon Trach 4 (PV Power),Imported LNG,Under Construction,~2025-2026,Dong Nai,750,PDP8,GE 9HA turbine; fed by Thi Vai terminal,,none,,none,1,False
--- LNG-TO-POWER PLANTS — PLANNED / IN DEVELOPMENT (PDP8) ---,,,,,,,,,none,,none,1,False
