name,fuel,status,cod,province,capacity_mwe,plan_origin,notes,verification_source,confidence,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
--- COAL-FIRED PLANTS — OPERATING ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
Uong Bi (all units combined),Coal,Operating,1964-2014 (expanded over time),Quang Ninh,630,Pre-PDP7,Multiple expansion phases,Not found in reference,0.0,,none,,none,1,False
Pha Lai 1,Coal,Operating,1983-1986,Hai Duong,440,Pre-PDP7,Soviet-built; ageing fleet,ref: Phả Lại 1,0.78,ref: Phả Lại 1,primary,,none,3,True
Pha Lai 2,Coal,Operating,2001-2002,Hai Duong,600,Pre-PDP7,Japanese ODA financed,ref: Phả Lại 2,0.78,ref: Phả Lại 2,primary,,none,3,True
Ninh Binh Thermal Power,Coal,Operating,1974 (refurbished),Ninh Binh,100,Pre-PDP7,One of Vietnam's oldest plants,Not found in reference,0.0,,none,,none,1,False
Na Duong 1,Coal,Operating,2004,Lang Son,110,Pre-PDP7,Uses local lignite,ref: Mong Duong 1,0.82,ref: Mong Duong 1,primary,,none,3,True
Cao Ngan,Coal,Operating,2008,Thai Nguyen,100,Pre-PDP7,,ref: Cao Ngạn,0.88,ref: Cao Ngạn,primary,,none,3,True
An Khanh 1,Coal,Operating,~2015,Thai Nguyen,110,PDP7,,ref: An Khánh 1,0.9,ref: An Khánh 1,primary,,none,3,True
Son Dong,Coal,Operating,~2014,Bac Giang,220,PDP7,,ref: Son Dong,1.0,ref: Son Dong,primary,,none,3,True
Cam Pha 1,Coal,Operating,2010,Quang Ninh,300,PDP7,,ref: Cam Pha 3,0.89,ref: Cam Pha 3,primary,,none,3,True
Cam Pha 2,Coal,Operating,2012,Quang Ninh,370,PDP7,,ref: Cam Pha 3,0.89,ref: Cam Pha 3,primary,,none,3,True
Mong Duong 1,Coal,Operating,2015,Quang Ninh,1080,PDP7,EVN,ref: Mong Duong 1,1.0,ref: Mong Duong 1,primary,,none,3,True
Mong Duong 2 (BOT),Coal,Operating,2015,Quang Ninh,1200,PDP7,AES BOT,ref: Mong Duong 2,0.8,ref: Mong Duong 2,primary,,none,3,True
Quang Ninh 1,Coal,Operating,2010,Quang Ninh,600,PDP7,,ref: Quang Ninh 1,1.0,ref: Quang Ninh 1,primary,,none,3,True
Quang Ninh 2,Coal,Operating,2014,Quang Ninh,600,PDP7,,ref: Quang Ninh 2,1.0,ref: Quang Ninh 2,primary,,none,3,True
Thang Long (Quang Ninh),Coal,Operating,~2018,Quang Ninh,600,PDP7,Geleximco developer,Not found in reference,0.0,,none,,none,1,False
Hai Phong 1,Coal,Operating,2010-2011,Hai Phong,600,PDP7,,ref: Hai Phong 1,1.0,ref: Hai Phong 1,primary,,none,3,True
Hai Phong 2,Coal,Operating,2013-2014,Hai Phong,600,PDP7,,ref: Hai Phong 2,1.0,ref: Hai Phong 2,primary,,none,3,True
Hai Duong BOT (Jaks/CPECC),Coal,Operating,2022,Hai Duong,1200,PDP7 revised,Malaysian-Chinese BOT,Not found in reference,0.0,,none,,none,1,False
Thai Binh 1,Coal,Operating,2018,Thai Binh,600,PDP7,,ref: Thái Bình 1,0.82,ref: Thái Bình 1,primary,,none,3,True
Thai Binh 2,Coal,Operating,2022,Thai Binh,600,PDP7,PVN project; long delayed,ref: Thái Bình 2,0.82,ref: Thái Bình 2,primary,,none,3,True
Mao Khe,Coal,Operating,2015,Quang Ninh,440,PDP7,,ref: Mao Khe,1.0,ref: Mao Khe,primary,,none,3,True
Nghi Son 1,Coal,Operating,2013-2014,Thanh Hoa,600,PDP7,,ref: Nghi Son 1,1.0,ref: Nghi Son 1,primary,,none,3,True
Nghi Son 2 (BOT),Coal,Operating,2022-2023,Thanh Hoa,1200,PDP7 revised,Japanese-led BOT (Marubeni/KEPCO),ref: Nghi Son 2,0.77,ref: Nghi Son 2,primary,,none,3,True
Vung Ang 1,Coal,Operating,2014-2015,Ha Tinh,1200,PDP7,,ref: Vung Ang 1,1.0,ref: Vung Ang 1,primary,,none,3,True
Formosa Ha Tinh Steel (captive),Coal,Operating,2017,Ha Tinh,650,Industrial captive,Taiwanese steel complex,ref: Ha Tinh Formosa Plastics Steel Complex,0.72,ref: Ha Tinh Formosa Plastics Steel Complex,primary,,none,3,True
Vinh Tan 1 (BOT),Coal,Operating,2018,Binh Thuan,1200,PDP7,Chinese BOT,ref: Vinh Tan 1,0.77,ref: Vinh Tan 1,primary,,none,3,True
Vinh Tan 2,Coal,Operating,2014-2015,Binh Thuan,1244,PDP7,EVN,ref: Vinh Tan 2,1.0,ref: Vinh Tan 2,primary,,none,3,True
Vinh Tan 4,Coal,Operating,2017-2019,Binh Thuan,1200,PDP7,,ref: Vinh Tan 4,1.0,ref: Vinh Tan 4,primary,,none,3,True
Vinh Tan 4 Extension,Coal,Operating,2020,Binh Thuan,600,PDP7 revised,,ref: Vinh Tan 4 extension,1.0,ref: Vinh Tan 4 extension,primary,,none,3,True
Duyen Hai 1,Coal,Operating,2015-2016,Tra Vinh,1245,PDP7,,ref: Duyen Hai 1,1.0,ref: Duyen Hai 1,primary,,none,3,True
Duyen Hai 2 (BOT),Coal,Operating,2021,Tra Vinh,1200,PDP7 revised,Malaysian BOT (Janakuasa),ref: Duyen Hai 2,0.79,ref: Duyen Hai 2,primary,,none,3,True
Duyen Hai 3,Coal,Operating,2017,Tra Vinh,1245,PDP7,,ref: Duyen Hai 3,1.0,ref: Duyen Hai 3,primary,,none,3,True
Duyen Hai 3 Extension,Coal,Operating,2019,Tra Vinh,688,PDP7 revised,,ref: Duyen Hai 3 Extension,1.0,ref: Duyen Hai 3 Extension,primary,,none,3,True
Song Hau 1,Coal,Operating,2022,Hau Giang,1200,PDP7,Long delayed; Lilama EPC,ref: Sông Hậu 1,0.8,ref: Sông Hậu 1,primary,,none,3,True
Hoa Phat Dung Quat (captive steel),Coal,Operating,~2019-2020,Quang Ngai,240,Industrial captive,Hoa Phat steel complex,Not found in reference,0.0,,none,,none,1,False
Hoa Phat Hai Duong (captive steel),Coal,Operating,~2016,Hai Duong,120,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Lee & Man Hau Giang (captive paper),Coal,Operating,~2019,Hau Giang,75,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
Pomina Steel (captive),Coal/Mixed,Operating,Various,Ba Ria-Vung Tau,30,Industrial captive,,Not found in reference,0.0,,none,,none,1,False
--- COAL-FIRED PLANTS — UNDER CONSTRUCTION ---,,,,,,,,Not found in reference,0.0,,none,,none,1,False
