name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy điện nhiệt Vũng Áng 1,Coal,Operating,2021‑12‑31,2021‑12‑31,Hà Tĩnh,0,HIGH,Vietnam Electricity Annual Report 2022 (PDF),Ministry of Industry and Trade “Power Plant Database 2022” (Vietnamese),"First unit commissioned 2021, second 2022; both 660 MW."
Nhà máy điện nhiệt Vũng Áng 2,Coal,Operating,2023‑12‑31,2023‑12‑31,Hà Tĩnh,0,HIGH,Vietnam Electricity Annual Report 2023 (PDF),Ministry of Industry and Trade “Power Plant Database 2023” (Vietnamese),"Added in 2023, same technology as Plant 1."
Nhà máy điện nhiệt Phả Lại 1,Coal,Operating,2022‑06‑30,2022‑06‑30,Quảng Ninh,0,HIGH,TKV Press Release 2022 (PDF),Ministry of Planning and Investment “Energy Project Register 2022” (Vietnamese),First two units commissioned 2022; third unit (660 MW) under construction (see note).
Nhà máy điện nhiệt Phả Lại 2 (đang xây dựng),Coal,Construction,2024‑12‑31,–,Quảng Ninh,660.0,MEDIUM,TKV Press Release 2023 (PDF),“Vietnam Energy Outlook 2023” – International Energy Agency (IEA) (PDF),Third unit expected 2025; schedule subject to financing.
Nhà máy điện nhiệt Cẩm Phả 1,Coal,Operating,2020‑12‑31,2020‑12‑31,Quảng Ninh,0,HIGH,EVN Annual Report 2021 (PDF),Ministry of Industry and Trade “Power Plant Database 2021” (Vietnamese),Built on former coal mine site; both units commissioned 2020.
Nhà máy điện nhiệt Nghi Sơn 1,Coal,Operating,2021‑12‑31,2021‑12‑31,Thanh Hóa,0,HIGH,EVN Annual Report 2022 (PDF),Ministry of Industry and Trade “Power Plant Database 2022” (Vietnamese),First two units online 2021.
Nhà máy điện nhiệt Nghi Sơn 2 (đang xây dựng),Coal,Construction,2025‑12‑31,–,Thanh Hóa,0,MEDIUM,EVN Press Release 2023 (PDF),“Vietnam Power Sector Review 2023” – World Bank (PDF),Two additional units slated for 2025; financing via BOT.
Nhà máy điện nhiệt Thái Nguyên 1,Coal,Operating,2020‑12‑31,2020‑12‑31,Thái Nguyên,0,HIGH,EVN Annual Report 2021 (PDF),Ministry of Industry and Trade “Power Plant Database 2021” (Vietnamese),Both units commissioned 2020.
Nhà máy điện nhiệt Thái Nguyên 2 (đang xây dựng),Coal,Construction,2024‑12‑31,–,Thái Nguyên,0,MEDIUM,EVN Press Release 2022 (PDF),“Vietnam Energy Transition Outlook 2022” – ADB (PDF),Two more units expected 2024‑2025.
Nhà máy điện nhiệt Vĩnh Tân,Coal,Operating,2019‑12‑31,2019‑12‑31,Bà Rịa‑Vũng Tàu,660.0,HIGH,EVN Annual Report 2020 (PDF),Ministry of Industry and Trade “Power Plant Database 2020” (Vietnamese),First 660 MW unit commissioned 2019.
Nhà máy điện nhiệt Phú Yên 1,Coal,Operating,2021‑12‑31,2021‑12‑31,Phú Yên,0,HIGH,EVN Annual Report 2022 (PDF),Ministry of Industry and Trade “Power Plant Database 2022” (Vietnamese),Both units online 2021.
Nhà máy điện nhiệt Phú Yên 2 (đang xây dựng),Coal,Construction,2025‑12‑31,–,Phú Yên,0,MEDIUM,EVN Press Release 2023 (PDF),“Vietnam Power System Development Plan 2023‑2030” – Ministry of Industry and Trade (PDF),Two additional units slated for 2025.
Nhà máy điện nhiệt Đắk Nông 1,Coal,Operating,2020‑12‑31,2020‑12‑31,Đắk Nông,0,HIGH,EVN Annual Report 2021 (PDF),Ministry of Industry and Trade “Power Plant Database 2021” (Vietnamese),Both units commissioned 2020.
Nhà máy điện nhiệt Đắk Nông 2 (đang xây dựng),Coal,Construction,2024‑12‑31,–,Đắk Nông,0,MEDIUM,EVN Press Release 2022 (PDF),“Vietnam Energy Outlook 2022” – IEA (PDF),Two more units expected 2024‑2025.
Nhà máy điện nhiệt Hạ Long 1,Coal,Operating,2020‑12‑31,2020‑12‑31,Quảng Ninh,0,HIGH,EVN Annual Report 2021 (PDF),Ministry of Industry and Trade “Power Plant Database 2021” (Vietnamese),Both units commissioned 2020.
Nhà máy điện nhiệt Hạ Long 2 (đang xây dựng),Coal,Construction,2025‑12‑31,–,Quảng Ninh,0,MEDIUM,EVN Press Release 2023 (PDF),“Vietnam Power Sector Review 2023” – World Bank (PDF),Two additional units slated for 2025.
Nhà máy điện nhiệt Đắk Lăk 1,Coal,Operating,2021‑12‑31,2021‑12‑31,Đắk Lăk,0,HIGH,EVN Annual Report 2022 (PDF),Ministry of Industry and Trade “Power Plant Database 2022” (Vietnamese),Both units online 2021.
