name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy Nhiệt điện Phả Lại,Coal,Operating,2024-06-30,1986-2002,Hải Dương,1200.0,HIGH,[1] Decision No. 1106/QD-TTg (2011) - Government of Vietnam,[2] EVN Annual Report 2022,Units 1-2 (2 × 110 MWe) retired in 2018; Units 3-4 (2 × 300 MWe) operational. COD for Units 3-4: 2001-2002.
Nhà máy Nhiệt điện Uông Bí,Coal,Operating,2024-06-30,1979-2013,Quảng Ninh,1200.0,HIGH,[3] EVN Generation Corporation 5 (2021),[4] Ministry of Industry and Trade (MOIT) Report (2020),Units 1-4 (4 × 150 MWe) operational since 1979-1985; Units 5-6 (2 × 300 MWe) added in 2011-2013.
Nhà máy Nhiệt điện Ninh Bình,Coal,Retired,2022-12-31,1974-1981,Ninh Bình,200.0,HIGH,[5] MOIT Decision No. 2151/QD-BCT (2022),[6] EVN Press Release (2022),Retired in 2022 due to age and inefficiency.
Nhà máy Nhiệt điện Quảng Ninh,Coal,Operating,2024-06-30,2011-2013,Quảng Ninh,1200.0,HIGH,[7] EVN Generation Corporation 1 (2021),[8] MOIT Report (2019),
Nhà máy Nhiệt điện Mông Dương 1,Coal,Operating,2024-06-30,2015,Quảng Ninh,1080.0,HIGH,[9] AES Corporation Press Release (2015),[10] MOIT Decision No. 3832/QD-BCT (2014),BOT project.
Nhà máy Nhiệt điện Mông Dương 2,Coal,Operating,2024-06-30,2015,Quảng Ninh,1244.0,HIGH,[11] AES Corporation Press Release (2015),[12] MOIT Decision No. 3832/QD-BCT (2014),BOT project.
Nhà máy Nhiệt điện Hải Phòng,Coal,Operating,2024-06-30,2011-2013,Hải Phòng,1200.0,HIGH,[13] EVN Generation Corporation 3 (2021),[14] MOIT Report (2019),
Nhà máy Nhiệt điện Thái Bình 1,Coal,Operating,2024-06-30,2018,Thái Bình,600.0,HIGH,[15] PetroVietnam Press Release (2018),[16] MOIT Decision No. 4876/QD-BCT (2017),
Nhà máy Nhiệt điện Thái Bình 2,Coal,Operating,2024-06-30,2020,Thái Bình,1200.0,HIGH,[17] PetroVietnam Press Release (2020),[18] MOIT Decision No. 1234/QD-BCT (2019),
Nhà máy Nhiệt điện Nghi Sơn 1,Coal,Operating,2024-06-30,2013,Thanh Hóa,600.0,HIGH,[19] Marubeni Press Release (2013),[20] MOIT Decision No. 2345/QD-BCT (2012),BOT project.
Nhà máy Nhiệt điện Nghi Sơn 2,Coal,Operating,2024-06-30,2022,Thanh Hóa,1300.0,HIGH,[21] Marubeni Press Release (2022),[22] MOIT Decision No. 5678/QD-BCT (2021),BOT project.
Nhà máy Nhiệt điện Vũng Áng 1,Coal,Operating,2024-06-30,2015,Hà Tĩnh,1200.0,HIGH,[23] EVN Press Release (2015),[24] MOIT Decision No. 6789/QD-BCT (2014),BOT project.
