name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy nhiệt điện Uông Bí 1,Coal,Operating,2023-01,2007,Quảng Ninh,110.0,MEDIUM,"EVN, Annual Report 2015 (url not verified)",PDP7 revised (2016),Two units commissioned ca. 2007
Nhà máy nhiệt điện Uông Bí 2,Coal,Operating,2023-01,2013–2014,Quảng Ninh,600.0,MEDIUM,"EVN, Annual Report 2016 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Cẩm Phả 1,Coal,Operating,2023-01,2011–2012,Quảng Ninh,600.0,MEDIUM,"Vinacomin, Annual Report 2012 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Mông Dương 1,Coal,Operating,2023-01,2015,Quảng Ninh,1080.0,HIGH,"EVN, press release 2015 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Mông Dương 2,Coal,Operating,2023-01,2015,Quảng Ninh,1240.0,HIGH,"AES, Annual Report 2016 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Hải Phòng 1,Coal,Operating,2023-01,2006–2007,Hải Phòng,600.0,MEDIUM,"EVN, Annual Report 2010 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Hải Phòng 2,Coal,Operating,2023-01,2014,Hải Phòng,600.0,MEDIUM,"EVN, Annual Report 2015 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Thái Bình 1,Coal,Operating,2023-01,2014–2015,Thái Bình,600.0,MEDIUM,"EVN, Annual Report 2016 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Thái Bình 2,Coal,Construction,2023-01,"Unit 1: 2022, Unit 2: 2024 exp.",Thái Bình,1200.0,MEDIUM,"Vietnam News, article 2022 (url not verified)",PDP7 revised (2016),"Unit 1 operational from May 2022; unit 2 under construction. Originally invested by PetroVietnam, moved to EVN."
Nhà máy nhiệt điện Nghi Sơn 1,Coal,Operating,2023-01,2013–2014,Thanh Hóa,600.0,MEDIUM,"EVN, Annual Report 2015 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Nghi Sơn 2,Coal,Operating,2023-01,2022,Thanh Hóa,1200.0,HIGH,"Marubeni, press release 2022 (url not verified)",PDP7 revised (2016),Both units commissioned 2022
Nhà máy nhiệt điện Vũng Áng 1,Coal,Operating,2023-01,2015,Hà Tĩnh,1200.0,MEDIUM,"EVN, Annual Report 2016 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Vũng Áng 2,Coal,Shelved,2023-01,—,Hà Tĩnh,1200.0,LOW,PDP7 revised (2016),"Press article, 2020, url not verified","BOT project, construction suspended over environmental approvals and financing. No activity under PDP8."
Nhà máy nhiệt điện Vĩnh Tân 1,Coal,Operating,2023-01,2016–2017,Bình Thuận,1200.0,MEDIUM,"EVN, Annual Report 2017 (url not verified)",PDP7 revised (2016),
Nhà máy nhiệt điện Vĩnh Tân 2,Coal,Operating,2023-01,2014–2015,Bình Thuận,1244.0,MEDIUM,"EVN, Annual Report 2015 (url not verified)",PDP7 revised (2016),
