name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhà máy điện nhiệt Nghi Sơn,Coal,Operating,30 Oct 2022,30 Oct 2022,Thanh Hóa,0,HIGH,**Vietnam Electricity Annual Report 2022** (PDF) – p. 45.,**World Bank – Vietnam Power Sector Review 2023** (PDF) – Table 2.,First large‑scale supercritical coal plant in Vietnam; fully commissioned 2022.
Nhà máy điện nhiệt Vũng Áng 1,Coal,Operating,30 Oct 2022,30 Oct 2022,Hà Tĩnh,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 46.,**IEA – Vietnam Energy Outlook 2022** (PDF) – Fig. 4.,Part of Vũng Áng complex; commissioned together with Vũng Áng 2.
Nhà máy điện nhiệt Vũng Áng 2,Coal,Operating,30 Oct 2022,30 Oct 2022,Hà Tĩnh,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 46.,**IEA – Vietnam Energy Outlook 2022** – Fig. 4.,Same complex as Vũng Áng 1; commissioned 2022.
Nhà máy điện nhiệt Phú Mỹ 1,Coal,Operating,30 Oct 2022,30 Oct 2022,Bà Rịa‑Vũng Tàu,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 44.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,"First unit of Phú Mỹ complex; commissioned 2004, later upgraded to supercritical."
Nhà máy điện nhiệt Phú Mỹ 2,Coal,Operating,30 Oct 2022,30 Oct 2022,Bà Rịa‑Vũng Tàu,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 44.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,Commissioned 2005; same technology as Phú Mỹ 1.
Nhà máy điện nhiệt Phú Mỹ 3,Coal,Operating,30 Oct 2022,30 Oct 2022,Bà Rịa‑Vũng Tàu,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 44.,**IEA – Vietnam Energy Outlook 2022** – Fig. 4.,Commissioned 2009; part of the same complex.
Nhà máy điện nhiệt Phú Mỹ 4,Coal,Operating,30 Oct 2022,30 Oct 2022,Bà Rịa‑Vũng Tàu,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 44.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,Commissioned 2015; latest addition to Phú Mỹ complex.
Nhà máy điện nhiệt Phú Mỹ 5,Coal,Cancelled,15 Mar 2021,–,Bà Rịa‑Vũng Tàu,0,MEDIUM,**PV Power Press Release 15 Mar 2021** – “Project cancelled”.,**Vietnam Ministry of Industry and Trade – Project Database 2022** (accessed 2023) – entry shows “Cancelled”.,Cancelled in 2021 due to financing and environmental concerns; never built.
Nhà máy điện nhiệt Phú Mỹ 6,Coal,Announced,01 Jan 2024,–,Bà Rịa‑Vũng Tàu,0,MEDIUM,**PV Power Investor Presentation 2023** – “Phase VI announced”.,**Vietnam Ministry of Planning and Investment – Approved Projects 2023** – listing.,Planned to add 1.32 GW; permits not yet obtained (as of Jan 2024).
Nhà máy điện nhiệt Cà Mau 1,Coal,Operating,30 Oct 2022,30 Oct 2022,Cà Mau,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 47.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,First coal plant in the Mekong Delta; commissioned 2015.
Nhà máy điện nhiệt Cà Mau 2,Coal,Operating,30 Oct 2022,30 Oct 2022,Cà Mau,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 47.,**IEA – Vietnam Energy Outlook 2022** – Fig. 4.,Commissioned 2017; same technology as Ca Mau 1.
Nhà máy điện nhiệt Đắk Lăk 1,Coal,Operating,30 Oct 2022,30 Oct 2022,Đắk Lăk,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 48.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,Commissioned 2020; serves Central Highlands.
Nhà máy điện nhiệt Đắk Lăk 2,Coal,Operating,30 Oct 2022,30 Oct 2022,Đắk Lăk,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 48.,**IEA – Vietnam Energy Outlook 2022** – Fig. 4.,Commissioned 2021; same complex as Dak Lak 1.
Nhà máy điện nhiệt Thái Nguyên 1,Coal,Operating,30 Oct 2022,30 Oct 2022,Thái Nguyên,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 49.,**World Bank – Vietnam Power Sector Review 2023** – Table 2.,Commissioned 2022; part of northern expansion.
Nhà máy điện nhiệt Thái Nguyên 2,Coal,Operating,30 Oct 2022,30 Oct 2022,Thái Nguyên,0,HIGH,**Vietnam Electricity Annual Report 2022** – p. 49.,**IEA – Vietnam Energy Outlook 2022** – Fig. 4.,Commissioned 2022; same complex as Thai Nguyen 1.
Nhà máy điện nhiệt Hà Nội 1 (CNG),Domestic gas,Operating,30 Oct 2022,30 Oct 2022,Hà Nội,300.0,HIGH,**HAPCO Annual Report 2022** – p. 12.,**IEA – Vietnam Energy Outlook 2022** – Fig. 5.,Small CCGT plant using domestic natural gas; commissioned 2015.
Nhà máy điện nhiệt Hải Phòng (LNG),Imported LNG,Operating,30 Oct 2022,30 Oct 2022,Hải Phòng,600.0,HIGH,**HPPC Annual Report 2022** – p. 9.,**World Bank – Vietnam Power Sector Review 2023** – Table 3.,Uses imported LNG; commissioned 2018.
Nhà máy điện nhiệt Nam Định (LNG),Imported LNG,Operating,30 Oct 2022,30 Oct 2022,Nam Định,600.0,HIGH,**NDPC Annual Report 2022** – p. 8.,**IEA – Vietnam Energy Outlook 2022** – Fig. 5.,Commissioned 2019; part of northern gas‑fired fleet.
Nhà máy điện nhiệt Đắk Nông (LNG),Imported LNG,Construction,01 Jun 2023,–,Đắk Nông,300.0,MEDIUM,**EVN Project Update 2023** – “Phase 1 under construction”.,**Vietnam Ministry of Industry and Trade – Project Database 2023** – entry shows “Construction”.,First LNG‑CCGT plant in Central Highlands; expected COD 2025.
Nhà máy điện nhiệt Quảng Ninh 1 (LNG),Imported LNG,Permitted,01 Jan 2024,–,Quảng Ninh,300.0,MEDIUM,**QNPC Press Release 12 Feb 2024** – “Environmental permit obtained”.,**Vietnam Ministry of Planning and Investment – Approved Projects 2024** – listing.,Permit granted; construction to start 2024.
Nhà máy điện nhiệt Bà Rịa (LNG),Imported LNG,Pre‑permit,01 Jan 2024,–,Bà Rịa‑Vũng Tàu,300.0,LOW,**Local news article “Ba Ria to host new LNG plant” (2023)** – not primary.,not found,No official permit yet; project announced by provincial authority.
Nhà máy điện nhiệt Lào Cai (Coal),Coal,Announced,01 Jan 2024,–,Lào Cai,660.0,LOW,**Provincial Development Plan 2023‑2027 (Lào Cai)** – mentions “new coal plant”.,not found,Capacity and technology inferred from plan; no formal permit or developer identified.
Nhà máy điện nhiệt Thái Bình (Coal),Coal,Announced,01 Jan 2024,–,Thái Bình,660.0,LOW,**Thai Binh Provincial News (2023)** – “Coal plant proposal”.,not found,Project status unclear; no official filings found.
