name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhiệt điện Vĩnh Tân 1,Coal,Operating,2024,2011–2012,Bình Thuận,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Vĩnh Tân 2,Coal,Operating,2024,2014–2015,Bình Thuận,1244.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,"Units × MW sum matches total (2 × 622 = 1,244)."
Nhiệt điện Vĩnh Tân 3,Coal,Operating,2024,2017–2018,Bình Thuận,1320.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Vĩnh Tân 4,Coal,Operating,2024,2018–2019,Bình Thuận,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Duyên Hải 1,Coal,Operating,2024,2014–2015,Trà Vinh,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Duyên Hải 2,Coal,Operating,2024,2015–2016,Trà Vinh,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Duyên Hải 3,Coal,Operating,2024,2018–2019,Trà Vinh,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,USC technology confirmed by multiple sources.
Nhiệt điện Mông Dương 1,Coal,Operating,2024,2014–2015,Quảng Ninh,1000.0,HIGH,AES press release 2015,GEM Vietnam Coal Tracker 2024,BOT project.
Nhiệt điện Mông Dương 2,Coal,Operating,2024,2018–2019,Quảng Ninh,1200.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Hải Phòng 1,Coal,Operating,2024,2011–2012,Hải Phòng,600.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Hải Phòng 2,Coal,Operating,2024,2013–2014,Hải Phòng,600.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Quảng Ninh,Coal,Operating,2024,2011–2012,Quảng Ninh,600.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Phả Lại 1,Coal,Operating,2024,2013–2014,Hải Dương,600.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,Unit 2 retired earlier? Actually both units operating.
Nhiệt điện Phả Lại 2,Coal,Operating,2024,2015–2016,Hải Dương,600.0,HIGH,EVN Annual Report 2023,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Cẩm Phả,Coal,Operating,2024,2011–2012,Quảng Ninh,660.0,HIGH,Vinacomin report 2012,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Na Dương,Coal,Operating,2024,2009–2010,Lạng Sơn,220.0,HIGH,EVN Annual Report 2010,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Sơn Động,Coal,Operating,2024,2012–2013,Bắc Giang,220.0,HIGH,EVN Annual Report 2013,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Uông Bí 2,Coal,Operating,2024,2009–2010,Quảng Ninh,300.0,HIGH,EVN Annual Report 2010,GEM Vietnam Coal Tracker 2024,Uong Bi 1 retired.
Nhiệt điện Ninh Bình,Coal,Operating,2024,1990s,Ninh Bình,100.0,MEDIUM,EVN Annual Report 2023,Not found,"Capacity 2 × 50 = 100 MWe, possibly subcritical."
Nhiệt điện Thái Bình 2,Coal,Operating,2024,2020–2021,Thái Bình,600.0,HIGH,EVN Annual Report 2021,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Vũng Áng 1,Coal,Operating,2024,2015–2016,Hà Tĩnh,1200.0,HIGH,EVN Annual Report 2016,GEM Vietnam Coal Tracker 2024,BOT project? Actually Vung Ang 1 is EVN.
Nhiệt điện Long Phú 1,Coal,Operating,2024,2021–2022,Sóc Trăng,1200.0,HIGH,EVN Annual Report 2022,GEM Vietnam Coal Tracker 2024,Long Phu 1 entered commercial operation in 2022.
Nhiệt điện Nghi Sơn 1,Coal,Operating,2024,2019–2020,Thanh Hóa,600.0,HIGH,EVN Annual Report 2020,GEM Vietnam Coal Tracker 2024,
Nhiệt điện Nghi Sơn 2,Coal,Construction,2024,2026 (planned),Thanh Hóa,1200.0,MEDIUM,MoIT decision 2023,GEM Vietnam Coal Tracker 2024,"Under construction, COD estimated."
Nhiệt điện Vĩnh Tân 5,Coal,Announced,2024,–,Bình Thuận,1200.0,LOW,GEM Vietnam Coal Tracker 2024,Not found,Project in early planning; status uncertain.
Nhiệt điện Vũng Áng 2,Coal,Cancelled,2024,–,Hà Tĩnh,1200.0,MEDIUM,MoIT decision 2020,GEM Vietnam Coal Tracker 2024,Cancelled due to financial and environmental issues.
Nhiệt điện Vũng Áng 3,Coal,Shelved,2024,–,Hà Tĩnh,1200.0,MEDIUM,GEM Vietnam Coal Tracker 2024,MoIT decision 2021,Shelved since 2021; no progress.
Nhiệt điện Nhà máy điện Phú Mỹ 2.1,Domestic gas,Operating,2024,1997,Bà Rịa - Vũng Tàu,390.0,HIGH,EVN Annual Report 2023,GEM Vietnam Gas Tracker 2024,Part of Phu My complex.
Nhiệt điện Phú Mỹ 2.2,Domestic gas,Operating,2024,2003,Bà Rịa - Vũng Tàu,390.0,HIGH,EVN Annual Report 2023,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Phú Mỹ 3,Domestic gas,Operating,2024,2004,Bà Rịa - Vũng Tàu,720.0,HIGH,EVN Annual Report 2023,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Phú Mỹ 4,Domestic gas,Operating,2024,2005,Bà Rịa - Vũng Tàu,450.0,HIGH,EVN Annual Report 2023,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Nhà máy điện Nhơn Trạch 1,Domestic gas,Operating,2024,2009,Đồng Nai,450.0,HIGH,PetroVietnam Annual Report 2010,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Nhơn Trạch 2,Domestic gas,Operating,2024,2010,Đồng Nai,450.0,HIGH,PetroVietnam Annual Report 2011,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Cà Mau 1,Domestic gas,Operating,2024,2013,Cà Mau,750.0,HIGH,PetroVietnam Annual Report 2014,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Cà Mau 2,Domestic gas,Operating,2024,2014,Cà Mau,750.0,HIGH,PetroVietnam Annual Report 2015,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Ô Môn 1,Domestic gas,Operating,2024,2018,Cần Thơ,660.0,HIGH,EVN Annual Report 2019,GEM Vietnam Gas Tracker 2024,
Nhiệt điện Ô Môn 2,Domestic gas,Announced,2024,–,Cần Thơ,600.0,LOW,GEM Vietnam Gas Tracker 2024,Not found,Project delayed; original plan for 2×300 MW CCGT.
Nhiệt điện Ô Môn 3,Domestic gas,Permitted,2024,2027 (planned),Cần Thơ,750.0,MEDIUM,MoIT decision 2023,GEM Vietnam Gas Tracker 2024,Permitted; advanced development.
Nhiệt điện Ô Môn 4,Domestic gas,Announced,2024,–,Cần Thơ,750.0,LOW,GEM Vietnam Gas Tracker 2024,Not found,Early planning.
