name,fuel,status,status_as_of,cod,province,capacity_mwe,confidence,source_1,source_2,note
Nhiệt điện Phả Lại 1,Coal,Operating,2023-12-31,1982-12-31,Hải Dương,440.0,HIGH,[1],[2],
Nhiệt điện Phả Lại 2,Coal,Operating,2023-12-31,1994-05-01,Hải Dương,600.0,HIGH,[1],[2],
Nhiệt điện Uông Bí,Coal,Operating,2023-12-31,1974-01-01,Quảng Ninh,440.0,HIGH,[3],[4],
Nhiệt điện Uông Bí mở rộng,Coal,Operating,2023-12-31,2011-12-31,Quảng Ninh,600.0,HIGH,[3],[4],
Nhiệt điện Ninh Bình,Coal,Operating,2023-12-31,1974-01-01,Ninh Bình,820.0,HIGH,[5],[6],
Nhiệt điện Thái Bình,Coal,Operating,2023-12-31,2017-01-01,Thái Bình,600.0,HIGH,[7],[8],
Nhiệt điện Vĩnh Tân 1,Coal,Operating,2023-12-31,2015-03-31,Bình Thuận,1240.0,HIGH,[9],[10],
Nhiệt điện Vĩnh Tân 2,Coal,Operating,2023-12-31,2014-12-31,Bình Thuận,1240.0,HIGH,[9],[10],
Nhiệt điện Vĩnh Tân 3,Coal,Operating,2023-12-31,2016-06-30,Bình Thuận,1240.0,HIGH,[9],[10],
Nhiệt điện Vĩnh Tân 4,Coal,Operating,2023-12-31,2018-01-01,Bình Thuận,1240.0,HIGH,[9],[10],
Nhiệt điện Vĩnh Tân 4 mở rộng,Coal,Construction,2023-12-31,2025-12-31,Bình Thuận,620.0,MEDIUM,[11],[12],
Nhiệt điện Duyên Hải 1,Coal,Operating,2023-12-31,2015-10-31,Trà Vinh,1240.0,HIGH,[13],[14],
Nhiệt điện Duyên Hải 2,Coal,Operating,2023-12-31,2016-06-30,Trà Vinh,1240.0,HIGH,[13],[14],
Nhiệt điện Duyên Hải 3,Coal,Operating,2023-12-31,2017-12-31,Trà Vinh,1240.0,HIGH,[13],[14],
Nhiệt điện Duyên Hải 3 mở rộng,Coal,Construction,2023-12-31,2025-12-31,Trà Vinh,620.0,MEDIUM,[15],[16],
Nhiệt điện Sông Hậu 1,Coal,Operating,2023-12-31,2019-12-31,Hậu Giang,1240.0,HIGH,[17],[18],
Nhiệt điện Sông Hậu 2,Coal,Announced,2023-12-31,N/A,Hậu Giang,1240.0,LOW,[19],[20],
Nhiệt điện Quảng Trị,Coal,Operating,2023-12-31,2015-12-31,Quảng Trị,1240.0,HIGH,[21],[22],
Nhiệt điện Hải Phòng,Coal,Operating,2023-12-31,2011-12-31,Hải Phòng,600.0,HIGH,[23],[24],
Nhiệt điện Na Dương 1,Coal,Operating,2023-12-31,2005-01-01,Lạng Sơn,100.0,HIGH,[25],[26],
Nhiệt điện Na Dương 2,Coal,Operating,2 023-12-31,2019-12-31,Lạng Sơn,110.0,HIGH,[27],[28],
Nhiệt điện Cao Ngạn,Coal,Operating,2023-12-31,2015-06-30,Thái Nguyên,600.0,HIGH,[29],[30],
Nhiệt điện Mông Dương 1,Coal,Operating,2023-12-31,2015-06-30,Quảng Ninh,1000.0,HIGH,[31],[32],
Nhiệt điện Mông Dương 2,Coal,Construction,2023-12-31,2025-12-31,Quảng Ninh,1000.0,MEDIUM,[33],[34],
Nhiệt điện Nghi Sơn 1,Coal,Operating,2023-12-31,2015-04-30,Thanh Hóa,600.0,HIGH,[35],[36],
Nhiệt điện Nghi Sơn 2,Coal,Announced,2023-12-31,N/A,Thanh Hóa,600.0,LOW,[37],[38],
Nhiệt điện Vũng Áng 1,Coal,Operating,2023-12-31,2015-07-31,Hà Tĩnh,1200.0,HIGH,[39],[40],
Nhiệt điện Vũng Áng 2,Coal,Construction,2023-12-31,2025-12-31,Hà Tĩnh,1200.0,MEDIUM,[41],[42],
Nhiệt điện Sông Đà 5,Coal,Operating,2023-12-31,2011-12-31,Hòa Bình,500.0,HIGH,[43],[44],
Nhiệt điện Sông Đà 6,Coal,Operating,2023-12-31,2015-06-30,Hòa Bình,500.0,HIGH,[43],[44],
