Name,Fuel,Status,COD,Province,Capacity,Sources
An Khanh 1,Coal,Operational,2012,Thái Nguyên,100,[1]
Cẩm Phả,Coal,Operational,2009,Quảng Ninh,600,[1]
Cao Ngạn,Coal,Operational,2014,Thái Nguyên,115,[1]
Duyên Hải 1,Coal,Operational,2015,Trà Vinh,1245,[1]
Duyên Hải 2,Coal,Operational,2016,Trà Vinh,1200,[1]
Duyên Hải 3,Coal,Operational,2017,Trà Vinh,1245,[1]
Duyên Hải 3 Mở Rộng,Coal,Operational,2019,Trà Vinh,688,[1]
Formosa Hà Tĩnh,Coal,Operational,2017,Hà Tĩnh,650,[1]
Hải Phòng 1,Coal,Operational,2011,Hải Phòng,600,[1]
Hải Phòng 2,Coal,Operational,2014,Hải Phòng,600,[1]
Long Phú 1,Coal,Under Construction,2025,Sóc Trăng,1200,[1][2]
Mạo Khê,Coal,Operational,2013,Quảng Ninh,440,[1]
Mông Dương 1,Coal,Operational,2015,Quảng Ninh,1080,[1]
Mông Dương 2,Coal,Operational,2015,Quảng Ninh,1120,[1]
Nam Định 1,Coal,Planned,2026,Nam Định,1200,[1][2]
Nghi Sơn 1,Coal,Operational,2014,Thanh Hóa,600,[1]
Nghi Sơn 2,Coal,Operational,2022,Thanh Hóa,1200,[1]
Phả Lại 1,Coal,Operational,1986,Hải Dương,440,[1]
Phả Lại 2,Coal,Operational,2002,Hải Dương,600,[1]
Phú Mỹ 2.1,Natural Gas,Operational,2002,Bà Rịa-Vũng Tàu,860,[1]
Phú Mỹ 3,Natural Gas,Operational,2004,Bà Rịa-Vũng Tàu,720,[1]
Phú Mỹ 4,Natural Gas,Operational,2005,Bà Rịa-Vũng Tàu,450,[1]
Quảng Ninh 1,Coal,Operational,2011,Quảng Ninh,600,[1]
Quảng Ninh 2,Coal,Operational,2013,Quảng Ninh,600,[1]
Sơn Mỹ 1,LNG,Planned,2027,Bình Thuận,2250,[1][2]
Sơn Mỹ 2,LNG,Planned,2028,Bình Thuận,2250,[1][2]
Thái Bình 1,Coal,Operational,2018,Thái Bình,600,[1]
Thái Bình 2,Coal,Operational,2022,Thái Bình,1200,[1]
Thăng Long,Coal,Operational,2009,Quảng Ninh,620,[1]
Uông Bí,Coal,Operational,1975,Quảng Ninh,630,[1]
Uông Bí Mở Rộng,Coal,Operational,2012,Quảng Ninh,330,[1]
Vĩnh Tân 1,Coal,Operational,2019,Bình Thuận,1200,[1]
Vĩnh Tân 2,Coal,Operational,2014,Bình Thuận,1244,[1]
Vĩnh Tân 3,Coal,Operational,2022,Bình Thuận,1980,[1]
Vĩnh Tân 4,Coal,Operational,2017,Bình Thuận,1200,[1]
Vĩnh Tân 4 Mở Rộng,Coal,Operational,2019,Bình Thuận,600,[1]
Vũng Áng 1,Coal,Operational,2015,Hà Tĩnh,1200,[1]
Vũng Áng 2,Coal,Under Construction,2025,Hà Tĩnh,1200,[1][2]
