Province,Name,Fuel,Status,COD,Capacity,Sources
An Giang,Châu Đốc,LNG,Planned,2026,1500,[1]
Bạc Liêu,Bạc Liêu LNG,LNG,Constructing,2027,3200,[1]
Bà Rịa-Vũng Tàu,Bà Rịa,Natural Gas,Operational,1995,390,[1]
Bà Rịa-Vũng Tàu,Phú Mỹ 1,Natural Gas,Operational,1996,1090,[1]
Bà Rịa-Vũng Tàu,Phú Mỹ 2.1,Natural Gas,Operational,2001,900,[1]
Bà Rịa-Vũng Tàu,Phú Mỹ 2.2,Natural Gas,Operational,2002,800,[1]
Bà Rịa-Vũng Tàu,Phú Mỹ 3,Natural Gas,Operational,2004,750,[1]
Bà Rịa-Vũng Tàu,Phú Mỹ 4,Natural Gas,Operational,2005,450,[1]
Bình Thuận,Sông Hậu 1,Coal,Operational,2021,1200,[1]
Bình Thuận,Vĩnh Tân 1,Coal,Operational,2019,1200,[1]
Bình Thuận,Vĩnh Tân 2,Coal,Operational,2015,1244,[1]
Bình Thuận,Vĩnh Tân 3,Coal,Operational,2020,1980,[1]
Bình Thuận,Vĩnh Tân 4,Coal,Operational,2017,1200,[1]
Hải Phòng,Hải Phòng 1,Coal,Operational,2011,1200,[1]
Hải Phòng,Hải Phòng 2,Coal,Operational,2014,1200,[1]
Long An,Long An I,LNG,Constructing,2025,1500,[1]
Long An,Long An II,LNG,Planned,2026,1500,[1]
Nam Định,Nam Định 1,Coal,Planned,2026,1200,[1]
Ninh Bình,Ninh Bình,Coal,Retired,1974,100,[1]
Quảng Bình,Quảng Trạch 1,Coal,Constructing,2025,1200,[1]
Quảng Ninh,Quảng Ninh 1,Coal,Operational,2011,1200,[1]
Quảng Ninh,Quảng Ninh 2,Coal,Operational,2013,1200,[1]
Sóc Trăng,Long Phú 1,Coal,Constructing,2024,1200,[1]
Thái Bình,Thái Bình 1,Coal,Operational,2018,600,[1]
Thái Bình,Thái Bình 2,Coal,Operational,2022,1200,[1]
Thanh Hóa,Nghi Sơn 1,Coal,Operational,2016,600,[1]
Thanh Hóa,Nghi Sơn 2,Coal,Operational,2020,1200,[1]
Trà Vinh,Duyên Hải 1,Coal,Operational,2016,1245,[1]
Trà Vinh,Duyên Hải 2,Coal,Operational,2018,1200,[1]
Trà Vinh,Duyên Hải 3,Coal,Operational,2017,1245,[1]
