name,fuel,status,cod,province,capacity_mwe,verification_source,confidence,source_1,source_1_type,source_2,source_2_type,evidence_score,verified
Uông Bí,Coal,Operational,,Quảng Ninh,105,Not found in reference,0.0,,none,,none,1,False
Uông Bí Extension 1,Coal,Operational,,Quảng Ninh,300,ref: Uong Bi I extension,0.79,ref: Uong Bi I extension,primary,,none,3,True
Uông Bí Extension 2,Coal,Operational,,Quảng Ninh,330,ref: Uong Bi I extension,0.79,ref: Uong Bi I extension,primary,,none,3,True
Pha Lai 1,Coal,Operational,,Hải Dương,440,ref: Phả Lại 1,0.78,ref: Phả Lại 1,primary,,none,3,True
Pha Lai 2,Coal,Operational,,Hải Dương,600,ref: Phả Lại 2,0.78,ref: Phả Lại 2,primary,,none,3,True
Ninh Bình,Coal,Operational,,Ninh Bình,100,ref: Ninh Binh,0.89,ref: Ninh Binh,primary,,none,3,True
Hải Phòng 1,Coal,Operational,,Hải Phòng,300,ref: Hải Phòng,0.9,ref: Hải Phòng,primary,,none,3,True
Quang Ninh 1,Coal,Operational,,Quảng Ninh,300,ref: Quang Ninh 1,1.0,ref: Quang Ninh 1,primary,,none,3,True
Na Duong,Coal,Operational,,Lạng Sơn,111,ref: Hai Duong,0.82,ref: Hai Duong,primary,,none,3,True
Cao Nhan,Coal,Operational,,Quảng Ninh,115,ref: Cao Ngạn,0.75,ref: Cao Ngạn,primary,,none,3,True
Cam Pha 1 & 2,Coal,Operational,,Quảng Ninh,600,ref: Cam Pha 3,0.73,ref: Cam Pha 3,primary,,none,3,True
Son Dong,Coal,Operational,,Quảng Ninh,220,ref: Son Dong,1.0,ref: Son Dong,primary,,none,3,True
Formosa Hà Tĩnh #2,Coal,Operational,,Hà Tĩnh,150,Not found in reference,0.0,,none,,none,1,False
Mông Dương 1,Coal,Operational,,Quảng Ninh,1080,ref: Na Dương 1,0.82,ref: Na Dương 1,primary,,none,3,True
Mông Dương 2,Coal,Operational,,Quảng Ninh,1200,ref: Na Dương 2,0.82,ref: Na Dương 2,primary,,none,3,True
Vĩnh Tân 2,Coal,Operational,,Bình Thuận,1244,ref: Vinh Tan 2,0.8,ref: Vinh Tan 2,primary,,none,3,True
Duyên Hải 1,Coal,Operational,,Trà Vinh,1244,ref: Duyên Hải 2,0.91,ref: Duyên Hải 2,primary,,none,3,True
Duyên Hải 3,Coal,Operational,,Trà Vinh,1245,ref: Duyên Hải 2,0.91,ref: Duyên Hải 2,primary,,none,3,True
Nghi Sơn 1,Coal,Operational,,Thanh Hóa,600,ref: Nghi Son 1,0.9,ref: Nghi Son 1,primary,,none,3,True
Quang Ninh 2,Coal,Operational,,Quảng Ninh,600,ref: Quang Ninh 2,1.0,ref: Quang Ninh 2,primary,,none,3,True
Hải Phòng 2,Coal,Operational,,Hải Phòng,600,ref: Hải Phòng,0.9,ref: Hải Phòng,primary,,none,3,True
Thai Bình 1,Coal,Operational,,Thái Bình,600,ref: Thái Bình 1,0.91,ref: Thái Bình 1,primary,,none,3,True
Vĩnh Tân 4,Coal,Operational,,Bình Thuận,1200,ref: Vinh Tan 4,0.8,ref: Vinh Tan 4,primary,,none,3,True
Vĩnh Tân 1,Coal,Operational,,Bình Thuận,1200,ref: Vinh Tan 1,0.8,ref: Vinh Tan 1,primary,,none,3,True
Thăng Long #1,Coal,Operational,,Thanh Hóa,300,ref: Thang Long,0.78,ref: Thang Long,primary,,none,3,True
Thăng Long #2,Coal,Operational,,Thanh Hóa,300,ref: Thang Long,0.78,ref: Thang Long,primary,,none,3,True
Formosa Hà Tĩnh #5,Coal,Operational,,Hà Tĩnh,150,Not found in reference,0.0,,none,,none,1,False
Formosa Hà Tĩnh #6 & #7,Coal,Operational,,Hà Tĩnh,300,Not found in reference,0.0,,none,,none,1,False
Formosa Hà Tĩnh #10,Coal,Planned/Delayed,,Hà Tĩnh,150,Not found in reference,0.0,,none,,none,1,False
Formosa Đồng Nai #3,Coal,Operational,,Đồng Nai,150,Not found in reference,0.0,,none,,none,1,False
Vè Đan,Coal,Operational,,Quảng Ninh,60,Not found in reference,0.0,,none,,none,1,False
Nghi Sơn 2,Coal,Under Construction,,Thanh Hóa,1200,ref: Nghi Son 2,0.9,ref: Nghi Son 2,primary,,none,3,True
Hải Dương 1 & 2,Coal,Under Construction,,Hải Dương,1200,Not found in reference,0.0,,none,,none,1,False
Nam Định 1,Coal,Under Construction,,Nam Định,1200,Not found in reference,0.0,,none,,none,1,False
Vũng Áng 2,Coal,Under Construction,,Hà Tĩnh,1200,ref: Vung Ang 2,0.7,ref: Vung Ang 2,primary,,none,3,True
Quảng Trạch 1,Coal,Under Construction,,Quảng Bình,1200,ref: Quảng Trạch 1,1.0,ref: Quảng Trạch 1,primary,,none,3,True
Vân Phong 1,Coal,Under Construction,,Khánh Hòa,1432,ref: Vân Phong 1,1.0,ref: Vân Phong 1,primary,,none,3,True
Long Phú 1,Coal,Under Construction,,Sóc Trăng,1200,ref: Long Phú 1,1.0,ref: Long Phú 1,primary,,none,3,True
Sông Hậu 1,Coal,Under Construction,,Hậu Giang,1200,ref: Sông Hậu 1,1.0,ref: Sông Hậu 1,primary,,none,3,True
